Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,8,7,0,8,0,210,4,148,1,251,32,66,254.0,93.0
0,13,6,0,8,1,186,4,149,1,230,6,75,233.0,88.0
0,12,7,0,8,1,186,4,150,1,231,6,68,233.0,98.0
0,11,7,0,8,1,187,4,151,1,235,6,77,238.0,90.0
0,14,6,0,8,1,185,4,148,1,230,6,75,234.0,99.0
0,9,7,0,8,1,188,4,152,1,230,6,68,233.0,96.0
0,14,7,0,8,1,191,4,155,1,238,6,72,242.0,90.0
0,15,7,0,8,1,187,4,150,1,236,6,71,238.0,94.0
0,15,7,0,8,1,186,4,149,1,233,6,71,237.0,96.0
0,11,7,0,8,1,189,4,152,1,232,6,112,235.0,95.0
0,15,6,0,8,1,188,4,151,1,235,6,74,239.0,136.0
0,11,7,0,8,1,187,4,150,1,230,6,82,233.0,100.0
0,11,7,0,8,1,186,4,150,1,229,6,75,233.0,109.0
0,10,6,0,8,0,187,4,151,1,229,6,74,233.0,98.0
0,16,7,0,10,0,188,4,151,1,240,6,65,243.0,97.0
0,9,7,0,8,1,188,4,151,1,229,6,87,232.0,88.0
0,9,6,0,8,1,187,4,150,1,228,6,68,232.0,112.0
0,12,7,0,9,2,217,4,176,1,263,11,84,267.0,88.0
0,7,7,0,8,0,190,4,149,1,228,6,66,231.0,120.0
0,8,7,0,8,1,190,4,153,1,231,6,66,234.0,112.0
0,8,6,0,8,1,187,4,151,1,226,6,60,230.0,87.0
0,10,6,0,7,1,186,4,150,1,227,6,82,230.0,80.0
0,12,7,0,8,0,188,4,151,1,233,6,70,236.0,114.0
0,12,7,0,8,1,187,4,151,1,232,6,62,235.0,91.0
0,12,7,0,8,1,194,4,153,1,238,6,85,242.0,84.0
0,11,7,0,8,1,190,4,153,1,233,6,72,237.0,112.0
0,9,6,0,8,0,187,4,151,1,228,6,70,232.0,96.0
0,15,7,0,10,1,188,4,151,1,238,6,70,241.0,92.0
0,15,6,0,10,1,187,4,150,1,238,6,65,242.0,93.0
0,12,7,0,8,1,186,4,150,1,230,6,75,233.0,86.0
0,11,6,0,7,0,186,4,149,1,228,6,77,232.0,96.0
0,11,7,0,8,0,188,4,151,1,232,6,75,235.0,107.0
0,13,6,0,8,0,185,4,149,1,229,6,69,233.0,96.0
0,11,6,0,8,1,187,4,151,1,230,6,84,233.0,88.0
0,7,7,0,7,0,190,4,149,1,229,6,73,232.0,105.0
0,11,7,0,8,1,188,4,152,1,231,6,74,234.0,99.0
0,11,7,0,8,0,191,4,154,1,234,6,76,239.0,98.0
0,15,6,0,8,1,185,4,149,1,233,6,75,236.0,101.0
0,8,6,0,8,1,185,4,149,1,224,6,66,227.0,98.0
0,9,7,0,8,1,189,4,153,1,230,6,73,234.0,89.0
0,12,6,0,8,1,186,4,150,1,230,6,72,233.0,95.0
0,10,6,0,8,1,192,4,154,2,234,6,82,238.0,94.0
0,9,7,0,8,1,188,4,152,1,229,6,69,232.0,108.0
0,11,7,0,12,1,188,4,151,1,236,6,82,239.0,92.0
0,14,7,0,11,1,187,4,151,1,238,6,67,241.0,113.0
0,11,7,0,8,1,185,4,149,1,228,6,62,231.0,90.0
0,12,7,0,8,1,190,4,153,1,234,6,66,237.0,83.0
0,12,6,0,8,1,188,4,152,1,232,6,82,236.0,90.0
0,10,7,0,8,1,188,4,151,1,230,6,82,233.0,111.0
0,11,6,0,8,1,187,4,150,1,229,6,72,232.0,106.0
0,10,7,0,8,0,187,4,151,1,229,6,64,232.0,93.0
0,12,7,0,8,1,186,4,149,1,229,6,66,232.0,88.0
0,11,7,0,8,1,192,4,154,1,235,7,68,238.0,90.0
0,11,6,0,8,1,186,4,150,1,228,6,81,231.0,92.0
0,16,6,0,8,1,191,4,155,1,242,6,67,245.0,112.0
0,14,7,0,16,2,191,4,153,1,249,7,97,253.0,89.0
0,12,7,0,8,1,188,4,151,1,232,6,66,236.0,123.0
0,11,7,0,8,1,186,4,150,1,229,6,61,233.0,91.0
0,13,7,0,8,1,190,4,153,1,236,6,67,239.0,86.0
0,11,7,0,8,1,187,4,150,1,230,6,76,232.0,93.0
0,14,7,0,15,1,192,4,155,1,248,7,77,251.0,108.0
0,12,7,0,8,1,189,4,152,1,233,6,82,236.0,102.0
0,15,7,0,10,0,189,4,153,1,238,6,84,241.0,107.0
0,9,7,0,8,1,189,4,153,1,230,6,78,233.0,111.0
0,10,7,0,8,1,187,4,151,1,229,6,66,233.0,102.0
0,9,6,0,7,1,186,4,150,1,226,6,78,229.0,90.0
0,9,7,0,8,0,185,4,149,1,226,6,69,229.0,102.0
0,10,7,0,8,0,186,4,149,1,227,6,73,230.0,92.0
0,11,6,0,7,1,186,4,150,1,228,6,68,232.0,103.0
0,13,7,0,8,1,190,4,153,1,237,6,73,241.0,89.0
0,11,6,0,8,1,187,4,150,1,229,6,67,232.0,95.0
0,11,7,0,8,0,186,4,150,1,229,6,71,232.0,91.0
0,9,7,0,8,1,190,4,154,1,232,6,79,235.0,95.0
0,12,7,0,8,1,196,4,152,1,240,6,65,243.0,108.0
0,14,7,0,8,1,188,4,152,1,235,6,70,238.0,92.0
0,14,6,0,8,1,187,4,151,1,232,6,68,235.0,93.0
0,10,7,0,8,0,191,4,154,1,233,6,70,237.0,90.0
0,13,6,0,8,1,188,4,151,1,232,6,78,236.0,94.0
0,9,6,0,8,1,188,4,151,1,229,6,72,232.0,111.0
0,10,7,0,8,1,190,4,154,1,233,6,91,236.0,95.0
0,14,6,0,8,1,189,4,152,1,236,6,73,239.0,120.0
0,11,7,0,8,1,190,4,153,1,233,6,62,236.0,100.0
0,12,6,0,8,1,187,4,150,1,230,6,75,233.0,81.0
0,15,7,0,8,0,189,4,152,1,238,6,77,242.0,96.0
0,14,6,0,8,0,187,4,150,1,235,6,79,238.0,99.0
0,14,7,0,8,1,189,4,152,1,237,6,61,240.0,104.0
0,12,7,0,8,1,185,4,149,1,228,6,80,231.0,83.0
0,8,7,0,8,1,186,4,150,1,224,6,69,227.0,103.0
0,12,6,0,8,0,186,4,150,1,234,6,68,237.0,93.0
0,12,7,0,8,1,191,4,153,1,235,6,81,238.0,89.0
0,12,7,0,8,1,186,4,150,1,229,6,75,233.0,109.0
0,12,7,0,8,1,195,4,152,1,240,7,83,243.0,98.0
0,12,7,0,9,0,190,4,154,1,237,6,70,241.0,108.0
0,8,7,0,8,0,198,4,162,1,238,6,74,240.0,93.0
0,14,7,0,10,1,187,4,150,1,237,6,77,241.0,96.0
0,10,7,0,8,1,187,4,150,1,229,6,78,232.0,103.0
0,8,7,0,8,1,187,4,150,1,225,6,79,228.0,102.0
0,11,7,0,8,1,188,4,151,1,230,6,72,233.0,105.0
0,13,7,0,8,1,190,4,152,1,235,7,76,239.0,97.0
0,14,6,0,9,1,186,4,150,1,234,6,29,237.0,99.0
