al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
115,1,55,6828,33,8239.0
71,2,60,8219,38,9586.0
74,2,71,8513,47,9882.0
69,2,59,7842,34,9803.0
76,3,63,7451,42,9073.0
68,2,74,8007,51,9385.0
79,3,67,7914,43,9290.0
66,2,80,7991,56,9959.0
297,2,58,7591,34,9207.0
73,2,73,8173,49,9607.0
78,2,73,8332,49,9720.0
74,3,60,7988,36,9482.0
74,2,76,8296,53,9836.0
71,3,70,8789,48,10205.0
83,2,90,7216,57,8622.0
77,3,65,8517,43,9894.0
73,2,63,8330,39,10462.0
65,3,65,7198,45,8921.0
2224,1,73,7231,48,11058.0
74,1,76,7448,51,9116.0
76,2,58,6770,36,8248.0
66,2,67,7760,45,10191.0
73,1,62,8087,40,9613.0
73,2,69,7074,43,9085.0
75,3,69,7591,45,9631.0
72,2,66,7636,39,9067.0
72,3,72,7591,51,8979.0
69,2,72,7664,47,9275.0
73,2,77,7163,57,8688.0
71,2,68,7261,44,8847.0
69,2,80,8692,55,10389.0
67,2,73,7940,51,9415.0
68,2,66,7657,41,9420.0
69,2,61,7524,37,9074.0
65,2,65,8604,45,10383.0
68,2,65,8254,41,9857.0
81,2,74,7379,52,8787.0
191,5,58,7686,32,9301.0
71,2,73,6973,50,8645.0
67,3,61,6743,40,8515.0
74,2,67,7799,46,9386.0
93,3,58,8364,37,10055.0
80,2,70,8288,47,9884.0
72,3,55,8069,34,9449.0
81,3,71,7015,44,8619.0
70,2,75,7832,52,9344.0
74,1,60,7604,36,9274.0
69,2,70,8234,48,10055.0
68,2,72,8027,51,9450.0
65,1,78,6855,55,8573.0
73,2,70,7345,47,8967.0
60,2,76,7276,51,8800.0
79,2,71,7073,48,8919.0
76,2,71,7280,50,8844.0
88,2,70,7097,47,8566.0
69,2,73,8528,48,10266.0
74,2,77,7483,54,9148.0
80,2,76,7626,53,9200.0
187,2,56,7880,35,9604.0
75,2,80,7410,55,8824.0
78,2,62,7555,40,9732.0
66,2,71,8302,51,9787.0
68,2,72,7196,49,8837.0
83,2,68,8287,47,10002.0
59,2,70,8184,44,9815.0
73,2,68,8467,43,10672.0
76,2,65,7961,42,9492.0
72,1,65,7506,38,9045.0
74,2,72,7688,47,9425.0
71,2,68,8175,46,9952.0
73,2,76,7228,52,9565.0
73,2,72,6999,52,8406.0
69,1,62,7659,40,9047.0
281,2,69,6925,44,8522.0
73,2,68,7801,43,9299.0
74,2,73,8692,50,10974.0
73,2,62,7402,39,8810.0
69,2,75,7878,49,9272.0
72,2,67,7964,41,9612.0
67,2,66,7469,45,8844.0
75,3,73,7045,48,8699.0
69,2,70,8160,47,10119.0
66,2,76,8615,51,10057.0
60,2,80,7441,55,8823.0
62,2,69,7027,46,8400.0
72,2,63,8315,38,9688.0
73,2,64,7933,43,9414.0
70,2,79,8563,55,10185.0
84,2,67,8120,45,9639.0
75,3,64,9066,44,10680.0
79,2,74,7728,49,9189.0
78,2,73,8835,52,10341.0
98,1,65,7243,41,8777.0
76,3,65,7147,43,8880.0
78,2,71,7590,44,9126.0
73,2,68,8610,47,10576.0
70,1,56,7399,32,8765.0
74,2,86,7627,58,9032.0
69,2,73,7998,53,9404.0
77,2,72,7755,47,9654.0
