al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
99,93,120,7292,93,9345.0
46,1,69,7037,49,9221.0
52,2,82,7459,60,8988.0
47,2,68,7457,45,9173.0
49,2,61,7269,39,8689.0
56,2,72,7363,47,8839.0
52,3,67,7453,47,9017.0
191,2,83,7419,56,9012.0
53,2,79,8208,53,9586.0
58,2,60,7451,39,8840.0
53,2,64,7412,42,8836.0
57,2,59,7224,35,8778.0
63,2,77,7411,52,8780.0
50,2,60,6955,36,8449.0
62,2,69,7913,49,9288.0
51,2,76,7595,47,9433.0
48,2,63,7417,43,8950.0
58,2,66,7818,45,9233.0
55,2,68,7603,45,9177.0
54,2,77,7480,48,8856.0
54,3,72,7677,48,9249.0
53,3,64,8150,44,9770.0
58,2,69,8993,45,10363.0
56,2,69,8094,48,10168.0
46,1,64,8630,40,10327.0
59,3,63,8683,41,10244.0
58,2,77,7790,53,9354.0
52,2,81,7594,58,9187.0
52,1,70,8244,45,9672.0
53,1,56,7865,35,9440.0
134,2,74,7376,52,9299.0
56,2,68,7163,43,8843.0
51,2,79,8731,56,10180.0
52,2,66,8304,42,10063.0
62,3,79,8300,57,10013.0
938,2,79,7120,55,10628.0
55,2,69,8808,47,10805.0
51,2,69,8102,48,9666.0
57,1,64,6934,42,8391.0
52,2,72,8460,48,10138.0
58,2,70,7534,48,8961.0
53,1,69,7889,48,9938.0
52,1,70,7370,49,8946.0
57,3,77,7304,52,8683.0
83,2,70,8250,48,10213.0
51,2,69,7384,49,9067.0
50,2,75,7649,50,9040.0
51,2,77,7410,52,8879.0
56,1,64,7780,39,9388.0
53,2,67,7410,46,8777.0
55,2,85,8140,54,9580.0
58,1,66,7007,46,8661.0
52,2,63,7769,40,9202.0
54,2,70,7748,47,9110.0
52,2,76,7539,51,9417.0
53,2,65,7266,45,8632.0
52,2,80,8783,57,10230.0
57,1,64,7918,42,9286.0
53,2,80,7100,58,8678.0
52,2,83,7123,62,8510.0
60,3,84,8092,57,9465.0
70,2,85,8201,57,9759.0
54,2,79,8218,52,9817.0
57,2,77,6560,53,7939.0
54,2,69,7908,46,9488.0
60,3,54,8041,34,9398.0
58,2,87,7541,54,8930.0
53,2,72,8509,47,10028.0
51,2,81,8446,51,9815.0
74,1,67,8260,43,9638.0
54,2,72,8112,49,9562.0
97,4,73,7967,49,9375.0
52,2,68,8442,47,9812.0
50,3,74,7033,49,8453.0
53,3,74,7652,48,9023.0
49,3,74,7091,48,9213.0
53,3,70,7162,47,8530.0
52,2,67,7217,44,8593.0
52,3,66,7937,47,9731.0
59,1,69,7014,47,8395.0
60,1,76,7563,53,9775.0
53,2,76,7550,56,8953.0
59,2,77,7408,50,8868.0
62,2,80,7794,58,9421.0
48,2,57,8628,36,9981.0
52,2,66,8703,45,10475.0
57,2,71,7473,46,9150.0
61,2,66,7056,46,8684.0
54,2,68,7739,47,9233.0
51,2,73,8453,51,10327.0
54,2,62,8048,42,10003.0
55,2,81,7252,52,8944.0
54,2,78,8046,57,10439.0
56,2,58,7947,35,9486.0
55,3,73,7640,48,9207.0
58,2,69,7480,45,9605.0
54,2,67,7573,45,9069.0
60,2,70,7625,50,9079.0
55,2,79,6776,57,9174.0
62,2,66,8192,41,9673.0
