al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
56,2,145,2509,139,3360.0
64,2,152,3127,148,3786.0
63,2,145,2587,141,3302.0
69,2,135,3120,131,3769.0
60,2,142,2892,138,3556.0
68,2,142,2899,138,3630.0
63,2,155,2312,151,2897.0
64,1,151,2359,146,3021.0
65,2,137,2764,133,3407.0
64,1,153,2289,148,2910.0
66,2,137,2317,132,2974.0
60,1,151,2398,147,2983.0
64,2,144,2405,140,3023.0
60,2,143,2703,139,3337.0
64,2,165,2523,161,3162.0
57,2,146,2383,141,2983.0
58,2,152,2527,148,3163.0
83,2,136,2710,132,3369.0
54,1,140,2753,135,3385.0
66,1,141,2434,137,3006.0
67,2,146,2783,141,3467.0
63,1,147,2658,143,3417.0
62,1,146,3104,141,3790.0
62,2,142,2688,138,3338.0
57,1,149,2875,143,3530.0
62,2,148,2561,143,3172.0
63,2,150,2816,146,3500.0
57,1,150,2863,145,3619.0
78,2,160,2374,156,3015.0
59,1,142,2295,138,2863.0
61,2,139,2544,135,3124.0
62,2,137,2742,132,3336.0
61,1,151,2538,147,3175.0
53,1,140,2366,136,2950.0
59,2,155,2594,150,3259.0
65,2,142,2602,137,3305.0
62,2,140,2633,135,3273.0
58,2,139,2320,135,3008.0
62,1,153,2621,148,3251.0
63,2,147,3000,143,3597.0
63,2,141,2299,138,2909.0
63,2,140,2293,137,2869.0
72,2,147,2844,143,3542.0
59,2,139,2915,135,3541.0
64,2,142,2558,138,3193.0
65,3,154,2781,149,3445.0
61,3,144,2709,138,3372.0
59,1,146,2367,140,3011.0
64,2,155,3034,150,3732.0
63,2,141,2540,136,3169.0
67,2,142,2895,137,3614.0
60,1,144,2388,141,3828.0
62,2,146,2368,141,2998.0
64,1,143,2362,138,2970.0
67,1,138,2450,133,3133.0
78,1,152,2533,147,3214.0
70,2,148,2806,143,3492.0
62,2,144,2882,140,3491.0
71,4,142,2655,138,3370.0
57,2,142,2564,139,3164.0
70,3,143,2957,139,3653.0
60,1,152,2812,147,3397.0
60,1,148,2347,144,3022.0
62,2,143,2980,138,3580.0
60,2,135,2361,131,2927.0
63,1,136,2933,132,3610.0
61,2,140,2608,136,3262.0
63,2,146,2333,142,2913.0
62,2,139,2608,135,3266.0
60,2,157,2962,152,3671.0
61,1,136,2949,130,3517.0
64,2,146,2461,142,3052.0
63,2,161,2361,157,3055.0
57,2,153,2400,149,2988.0
65,3,158,2587,152,3256.0
66,2,143,2283,140,2995.0
62,1,145,2678,141,3299.0
60,2,152,2349,146,2973.0
75,3,139,2723,134,3522.0
58,2,144,2604,140,3305.0
59,2,153,2793,148,3485.0
60,2,156,2746,151,3427.0
60,1,157,2481,153,3130.0
64,3,139,2586,135,3241.0
68,2,143,2753,138,3404.0
61,3,150,2945,144,3586.0
66,1,150,2436,144,3044.0
63,2,165,2628,160,3313.0
59,2,145,2179,140,2761.0
58,2,139,2313,135,3013.0
57,2,144,2890,138,3464.0
66,2,138,2415,133,3150.0
55,2,158,2941,154,3565.0
63,2,155,2836,148,3442.0
94,2,146,2542,141,3224.0
57,2,149,2646,145,3218.0
66,2,144,2331,139,2948.0
64,2,145,2784,140,3459.0
64,2,138,2864,134,3439.0
67,2,163,2987,159,3850.0
