Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,8,6,0,12,1,158,12,117,1,209,21,304,213.0,347.0
0,12,6,0,8,1,233,12,115,1,284,98,303,288.0,308.0
0,8,6,0,8,1,238,12,118,1,285,100,300,289.0,307.0
0,8,6,0,8,1,236,12,117,1,283,99,303,286.0,304.0
0,14,6,0,8,1,238,12,118,1,292,100,309,295.0,307.0
0,10,6,0,8,1,237,12,117,1,285,99,319,289.0,314.0
0,14,7,0,8,1,242,12,119,1,298,102,302,302.0,324.0
0,8,6,0,8,0,235,12,115,1,281,99,311,284.0,307.0
0,10,6,0,8,1,235,12,116,1,284,99,317,289.0,316.0
0,10,6,0,8,1,236,12,116,1,285,100,307,289.0,322.0
0,9,6,0,8,1,236,12,115,1,284,100,295,287.0,312.0
0,11,6,0,8,0,237,12,116,1,286,100,305,289.0,300.0
0,8,7,0,8,1,242,12,119,1,289,102,293,294.0,309.0
0,8,6,0,8,1,242,13,118,1,290,103,302,293.0,298.0
0,8,6,0,8,1,235,12,115,1,281,99,315,284.0,307.0
0,8,7,0,8,1,242,12,119,1,289,102,307,294.0,319.0
0,8,6,0,8,1,234,12,116,1,281,98,300,284.0,311.0
0,11,6,0,8,1,247,12,126,1,298,100,318,302.0,305.0
0,14,7,0,13,1,332,15,174,2,409,129,331,414.0,323.0
0,10,6,0,8,1,238,12,116,1,287,101,318,291.0,336.0
0,11,6,0,8,0,236,12,116,1,286,100,312,289.0,322.0
0,9,7,0,9,1,241,12,119,1,290,101,300,294.0,318.0
0,15,6,0,8,0,243,12,124,1,299,99,306,304.0,305.0
0,10,6,0,7,1,251,12,124,1,300,107,321,303.0,310.0
0,10,6,0,8,1,236,12,115,1,285,100,302,289.0,325.0
0,11,6,0,8,1,236,12,115,1,287,100,302,291.0,306.0
0,12,7,0,8,0,237,12,117,1,288,100,319,291.0,307.0
0,11,6,0,8,0,236,12,115,1,286,100,323,289.0,323.0
0,7,6,0,8,0,236,12,116,1,282,100,321,286.0,329.0
0,7,6,0,8,1,237,12,116,1,283,100,321,286.0,325.0
0,8,6,0,12,1,235,12,116,1,287,99,319,291.0,326.0
0,7,6,0,8,0,236,12,116,1,283,100,295,286.0,324.0
0,8,6,0,8,0,236,12,115,1,283,100,306,287.0,298.0
0,11,6,0,7,1,235,12,115,1,285,99,297,288.0,311.0
0,8,6,0,8,1,236,12,116,1,283,100,303,286.0,302.0
0,8,6,0,8,1,237,12,116,1,284,100,304,288.0,308.0
0,8,6,0,8,1,236,12,116,1,282,100,320,286.0,308.0
0,8,6,0,8,1,236,12,115,1,283,100,311,287.0,325.0
0,8,6,0,8,1,234,12,115,1,281,99,344,284.0,316.0
0,8,6,0,8,1,235,12,116,1,281,99,320,284.0,349.0
0,11,6,0,8,0,236,12,116,1,286,100,281,290.0,325.0
0,11,6,0,8,1,236,12,115,1,286,100,310,289.0,285.0
0,13,6,0,9,1,242,12,119,1,296,102,313,300.0,316.0
0,10,6,0,8,1,237,12,117,1,286,100,305,290.0,317.0
0,8,6,0,8,1,238,12,117,1,285,101,320,289.0,310.0
0,8,6,0,8,1,237,12,117,1,283,100,303,286.0,323.0
0,8,6,0,8,1,245,12,120,1,293,104,294,296.0,307.0
0,8,6,0,8,1,238,12,118,1,285,100,304,288.0,298.0
0,8,6,0,8,0,242,15,117,5,293,101,320,297.0,309.0
0,12,6,0,8,1,237,12,116,1,288,101,337,291.0,325.0
0,8,6,0,8,1,237,12,116,1,284,100,313,287.0,342.0
0,8,6,0,8,1,236,12,116,1,283,100,314,286.0,319.0
0,8,6,0,8,1,234,12,115,1,280,99,307,284.0,318.0
0,10,6,0,8,1,235,12,115,1,284,100,309,287.0,311.0
0,8,6,0,8,1,237,14,115,1,285,101,314,290.0,313.0
0,13,7,0,9,1,248,12,124,1,303,103,296,307.0,318.0
0,12,6,0,8,1,238,12,116,1,289,101,314,292.0,301.0
0,13,6,0,8,1,242,12,118,1,294,103,306,298.0,318.0
0,8,6,0,7,1,235,12,116,1,281,99,302,284.0,310.0
0,11,7,0,8,1,242,12,119,1,293,103,318,297.0,307.0
0,9,6,0,8,1,237,13,116,1,288,101,307,291.0,322.0
0,13,6,0,8,1,237,12,117,1,290,100,304,293.0,311.0
0,14,6,0,8,1,236,12,116,1,290,100,328,294.0,307.0
0,11,6,0,8,1,237,12,115,1,287,101,315,291.0,333.0
0,8,6,0,8,1,243,12,118,1,290,104,316,294.0,320.0
0,9,6,0,8,1,248,14,124,1,298,103,304,302.0,320.0
0,12,6,0,8,0,238,12,117,1,289,101,298,292.0,308.0
0,11,6,0,8,1,238,12,116,1,288,101,316,292.0,302.0
0,8,6,0,8,1,237,12,117,1,283,100,323,286.0,323.0
0,11,6,0,7,1,237,12,115,1,286,101,310,290.0,330.0
0,8,7,0,8,1,243,12,118,1,290,105,313,295.0,315.0
0,9,6,0,8,1,243,12,119,1,291,103,320,295.0,317.0
0,11,6,0,8,1,242,12,120,1,292,101,297,296.0,325.0
0,10,6,0,8,1,243,12,119,1,292,103,322,297.0,301.0
0,8,6,0,8,1,239,12,117,1,285,101,311,289.0,326.0
0,9,6,0,8,1,237,12,116,1,285,101,323,288.0,315.0
0,10,6,0,8,1,236,12,115,1,285,101,349,288.0,329.0
0,11,6,0,8,1,237,12,115,1,287,101,311,290.0,355.0
0,14,6,0,9,1,237,12,116,1,292,101,306,296.0,317.0
0,8,6,0,8,1,237,12,115,1,283,101,315,286.0,311.0
0,7,6,0,8,1,238,12,116,1,284,102,305,287.0,319.0
0,10,6,0,8,1,238,12,117,1,287,101,294,291.0,309.0
0,7,6,0,8,1,247,12,124,1,295,101,316,298.0,299.0
0,7,6,0,8,1,237,12,116,1,283,101,322,287.0,320.0
0,11,6,0,8,1,238,12,117,1,288,101,314,291.0,327.0
0,7,6,0,8,0,238,12,115,1,284,102,299,287.0,319.0
0,9,6,0,8,1,243,12,118,1,291,104,310,296.0,303.0
0,11,6,0,8,1,238,12,115,1,288,102,321,291.0,317.0
0,7,6,0,8,1,237,12,115,1,283,101,311,287.0,326.0
0,9,6,0,7,0,238,12,116,1,286,101,296,289.0,316.0
0,8,6,0,7,1,237,12,115,1,282,101,312,285.0,300.0
0,10,6,0,8,1,240,12,118,1,290,102,321,293.0,316.0
0,8,6,0,8,1,238,12,117,1,284,101,333,288.0,326.0
0,11,6,0,8,1,239,12,117,1,290,102,299,294.0,338.0
0,8,6,0,8,0,234,12,116,1,281,98,325,286.0,303.0
0,11,6,0,8,1,241,12,118,1,292,102,326,296.0,329.0
0,7,6,0,8,0,235,12,116,1,281,99,307,284.0,331.0
0,12,6,0,8,1,238,12,116,1,289,101,306,292.0,312.0
0,10,6,0,8,1,240,12,118,1,289,101,306,293.0,312.0
0,10,6,0,8,0,239,12,116,1,288,99,29,292.0,312.0
