al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
264,1,287,4930,283,6365.0
114,2,278,5945,274,7371.0
119,2,271,5454,266,6573.0
121,1,292,6101,287,7445.0
120,1,270,4700,266,5997.0
121,2,290,5267,285,6535.0
152,2,282,5278,276,6822.0
177,2,287,5113,282,6447.0
118,2,291,5821,286,7135.0
118,3,294,6024,290,7453.0
125,2,255,5410,250,6764.0
113,1,291,5954,286,7163.0
124,3,299,5259,295,6626.0
122,1,277,5647,273,6943.0
129,2,289,5363,285,6716.0
118,2,308,5264,304,6514.0
152,2,297,5225,290,6540.0
121,2,281,6160,277,7569.0
117,2,291,5756,286,7082.0
121,2,254,4432,249,5714.0
117,2,285,5355,280,6510.0
117,1,289,5121,284,6514.0
125,2,274,5018,269,6166.0
131,2,278,5483,273,6800.0
115,1,278,4837,275,5978.0
129,1,270,4781,264,6360.0
111,2,289,5602,285,6893.0
125,2,289,6112,285,7395.0
132,1,286,5400,281,6854.0
125,1,289,5862,284,7261.0
118,1,278,5156,273,6382.0
121,2,256,5393,251,6740.0
120,2,278,5206,274,6381.0
122,1,282,5165,278,6364.0
127,2,288,4655,284,6004.0
123,2,278,5080,274,6347.0
121,2,292,6012,287,7503.0
138,2,298,5968,293,7281.0
134,2,291,5366,286,6666.0
120,2,283,5215,278,6657.0
118,2,295,5274,291,6415.0
119,2,293,5708,288,6843.0
128,2,286,5900,281,7163.0
114,1,281,4632,276,5801.0
121,2,283,5323,278,6476.0
116,2,282,4636,278,5760.0
125,2,283,5875,279,7114.0
115,1,290,5261,286,6516.0
122,2,286,5758,281,7027.0
115,1,290,5465,286,6784.0
126,1,280,5563,276,6812.0
124,2,293,5141,287,6263.0
119,2,276,4798,272,5948.0
116,1,299,5103,294,6234.0
118,2,273,5600,268,7033.0
113,1,299,5359,294,6570.0
114,1,283,5666,279,6777.0
122,3,287,4912,282,6413.0
116,2,297,5233,292,6527.0
119,2,301,5072,295,6423.0
111,2,282,5566,278,6882.0
117,1,291,5329,285,6446.0
112,2,279,5831,274,7149.0
121,2,282,4770,278,5977.0
118,1,288,5039,283,6441.0
112,2,289,4881,286,6144.0
119,2,280,4791,276,5959.0
112,2,279,5971,274,7223.0
124,2,294,5290,288,6496.0
111,1,296,5554,291,6898.0
121,2,297,5088,292,6262.0
115,2,297,5680,293,7026.0
114,1,287,4643,282,5904.0
116,2,294,5270,289,6466.0
120,2,287,4961,282,6208.0
124,2,291,5430,287,6594.0
117,2,283,5923,279,7154.0
121,2,282,5289,277,6531.0
120,2,293,5233,288,6504.0
117,2,287,4831,282,6087.0
569,1,285,5118,280,6816.0
115,1,286,4923,282,6062.0
158,1,285,5543,281,6785.0
118,3,276,5842,272,6973.0
117,1,283,5517,276,6704.0
120,2,288,4724,283,6201.0
111,2,289,5189,285,6355.0
132,1,289,5170,285,6542.0
126,1,281,5196,276,6549.0
123,2,291,5295,286,6616.0
121,1,282,5220,278,6375.0
124,2,291,5469,286,6781.0
117,1,287,6181,282,7345.0
117,2,273,4442,270,5829.0
121,2,276,4799,272,5945.0
129,2,269,6028,265,7232.0
126,2,294,5379,290,6632.0
120,3,294,5933,290,7073.0
119,4,284,5424,279,6633.0
138,2,289,4663,284,6030.0
