Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Collect Samples and Dcount Est.,Predicate Grant Injection,total,sql_exec_time,app_prep_time,app_exec_time
1,11,7,0,9,1,20,12,1,0,76,302,79.0,299.0
2,20,6,0,9,1,20,12,1,0,87,296,91.0,306.0
1,11,7,0,9,1,20,12,1,0,77,309,80.0,301.0
1,11,6,0,8,1,20,12,1,0,77,296,80.0,314.0
2,13,7,0,9,1,20,12,1,0,82,293,85.0,300.0
1,11,7,0,9,1,20,12,1,0,78,304,81.0,297.0
2,13,7,0,9,1,21,12,1,0,82,302,85.0,308.0
1,11,6,0,9,1,20,12,1,0,76,295,79.0,306.0
2,15,9,0,11,1,20,12,1,0,86,302,90.0,298.0
1,11,6,0,9,1,20,12,1,0,76,297,79.0,306.0
1,12,7,0,9,1,21,12,1,0,79,308,82.0,301.0
2,15,7,0,9,1,20,12,1,0,82,304,86.0,312.0
2,15,7,0,9,1,21,12,1,0,83,316,87.0,308.0
2,15,7,0,9,1,21,12,1,0,83,301,87.0,321.0
2,14,7,0,9,1,20,12,1,0,81,284,84.0,306.0
1,12,7,0,9,1,29,13,1,0,89,300,92.0,288.0
1,14,7,0,9,1,21,12,1,0,85,296,87.0,304.0
1,12,7,0,9,1,21,12,1,0,80,296,83.0,301.0
2,17,12,0,15,3,26,13,1,0,105,303,109.0,301.0
1,11,7,0,9,1,20,12,1,0,77,306,80.0,307.0
3,18,7,0,9,1,20,12,1,0,86,314,89.0,312.0
1,12,7,0,9,1,20,12,1,0,78,309,81.0,319.0
2,13,7,0,9,1,20,12,1,0,81,316,84.0,313.0
1,17,7,0,9,1,20,12,1,0,84,289,87.0,320.0
2,13,7,0,9,1,20,12,1,0,80,293,83.0,294.0
3,18,7,0,9,1,20,12,1,0,84,307,87.0,298.0
2,12,7,0,9,1,20,12,1,0,80,313,83.0,311.0
2,12,6,0,8,1,20,12,1,0,79,312,82.0,317.0
2,14,7,0,9,1,20,12,1,0,81,300,84.0,316.0
2,16,6,0,8,2,25,14,1,0,91,310,94.0,304.0
2,15,7,0,9,1,21,12,1,0,84,297,87.0,315.0
2,12,7,0,9,1,20,12,1,0,81,296,85.0,301.0
2,16,7,0,9,1,20,12,1,0,83,328,86.0,300.0
1,12,7,0,9,1,21,15,1,0,81,305,85.0,333.0
2,14,7,0,9,1,20,12,1,0,81,302,84.0,309.0
1,11,7,0,9,1,20,12,1,0,77,306,80.0,306.0
2,14,7,0,9,1,20,12,1,0,82,336,85.0,311.0
1,11,7,0,9,1,20,12,1,0,78,298,81.0,342.0
1,11,7,0,9,1,20,12,1,0,78,305,81.0,302.0
1,11,7,0,9,1,20,12,1,0,78,304,80.0,309.0
3,15,7,0,9,1,20,12,1,0,83,297,88.0,309.0
2,14,7,0,9,1,20,12,1,0,81,306,84.0,302.0
2,12,6,0,9,1,20,12,1,0,79,297,82.0,311.0
2,12,7,0,9,1,21,13,1,0,80,299,85.0,302.0
3,16,7,0,9,1,20,12,1,0,83,302,86.0,303.0
1,12,7,0,9,1,20,12,1,0,79,305,82.0,306.0
1,11,7,0,9,1,20,12,1,0,77,307,80.0,310.0
2,15,7,0,9,1,20,12,1,0,83,301,86.0,312.0
1,12,7,0,9,1,21,12,1,0,79,299,81.0,306.0
2,15,7,0,9,1,20,12,1,0,82,331,85.0,303.0
2,11,7,0,9,1,20,12,1,0,79,301,82.0,335.0
