al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
98,2,279,4956,274,6174.0
64,2,301,5263,297,6763.0
61,2,285,5726,280,6936.0
60,1,308,5740,303,6849.0
73,2,280,5030,275,6311.0
65,2,290,5561,286,6639.0
69,3,286,4831,282,6064.0
67,2,297,4759,292,5955.0
60,2,271,5579,267,6901.0
67,1,281,5192,277,6396.0
63,1,274,4802,270,5883.0
64,1,276,5241,271,6652.0
77,2,285,5105,280,6208.0
68,2,286,5427,280,6651.0
64,3,296,5211,291,6352.0
70,2,284,5064,279,6184.0
63,2,285,4962,281,6137.0
60,2,294,5583,289,6703.0
69,2,281,5453,277,6613.0
60,2,304,4710,300,5833.0
71,1,292,5527,287,6790.0
62,1,290,5400,285,6559.0
57,2,296,5015,292,6157.0
66,3,314,5931,309,7028.0
63,1,265,5225,261,6468.0
66,2,288,5220,283,6308.0
73,2,295,5169,288,6303.0
65,1,296,4630,292,5897.0
63,2,288,5408,283,6474.0
65,1,287,5164,283,6319.0
66,2,287,4558,282,5620.0
79,2,286,4942,282,6117.0
65,2,286,5049,282,6131.0
64,2,288,5334,283,6456.0
63,2,282,4986,277,6045.0
61,1,286,5331,281,6433.0
61,1,270,5599,266,6647.0
67,2,275,4810,271,6026.0
64,2,281,5365,276,6670.0
66,2,318,5778,313,7166.0
61,2,293,5462,288,6774.0
57,2,300,5221,296,6344.0
71,2,292,5557,287,6808.0
68,2,291,5199,286,6333.0
67,2,287,5019,283,6211.0
63,2,286,5277,282,6359.0
67,2,284,5775,280,7058.0
61,1,280,5377,276,6476.0
69,2,292,5761,287,7084.0
69,1,278,5651,274,6709.0
62,2,287,4982,283,6178.0
64,1,289,5248,283,6399.0
77,2,284,4441,280,5523.0
68,2,299,5773,294,7009.0
65,2,289,5592,284,6754.0
63,2,302,5696,297,6777.0
70,2,284,5877,279,6983.0
65,1,278,4988,274,6242.0
325,2,296,6133,290,7491.0
52,2,290,5331,284,6631.0
70,2,279,5692,275,6775.0
68,1,295,4754,291,5849.0
61,2,292,5152,287,6387.0
66,2,313,6262,307,7363.0
69,2,287,5028,282,6323.0
72,2,282,5393,278,6481.0
68,2,297,5965,292,7060.0
85,2,306,5226,301,6423.0
69,2,293,5292,289,6407.0
68,2,275,5146,271,6410.0
68,2,281,5516,277,6579.0
101,3,279,4767,274,6160.0
61,2,290,5647,285,6857.0
68,2,288,5139,282,6444.0
61,2,276,4849,270,5910.0
67,1,284,5632,279,6975.0
63,1,280,5071,275,6135.0
68,2,282,5030,276,6235.0
61,2,280,5042,276,6253.0
70,2,288,5289,282,6394.0
57,2,284,5042,279,6300.0
68,2,308,5088,303,6359.0
62,2,276,5330,271,6553.0
81,2,278,5363,274,6734.0
154,2,285,5573,281,6750.0
63,3,282,5185,278,6563.0
69,1,289,4718,285,5906.0
63,2,285,5147,281,6336.0
66,3,281,5720,276,6964.0
64,1,295,4751,290,6047.0
66,2,286,5213,282,6678.0
55,1,290,4760,285,5835.0
65,3,284,5785,279,6944.0
127,2,282,4521,278,5753.0
60,2,274,5143,270,6237.0
65,2,292,4496,288,5758.0
59,2,297,5681,290,6886.0
65,1,294,5392,290,6582.0
65,2,296,4847,292,5986.0
64,2,301,5384,296,6709.0
