al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
88,89,115,5485,81,6641.0
48,2,64,5112,46,6164.0
52,2,57,4793,37,5896.0
49,1,59,5037,37,5993.0
42,2,87,5683,52,6613.0
50,2,69,5742,44,6801.0
42,1,55,5446,34,6732.0
37,2,55,5898,36,6964.0
46,1,57,5345,36,6480.0
47,3,64,5419,37,6600.0
39,2,65,5557,38,6662.0
238,2,70,6092,50,7521.0
50,1,67,5433,44,6353.0
42,2,65,5874,43,6907.0
47,2,67,5660,43,6591.0
45,2,68,6704,44,7795.0
43,1,68,5464,47,6367.0
44,2,67,5207,47,6347.0
48,2,58,5501,37,6408.0
54,2,67,5592,41,6800.0
42,2,54,5365,34,6258.0
44,2,66,5432,40,6383.0
35,1,63,5887,40,6949.0
48,2,57,5302,33,6197.0
40,2,67,5939,46,7108.0
42,2,56,5339,35,6264.0
46,1,58,5185,33,6081.0
46,2,60,5124,41,6268.0
45,2,65,5234,42,6249.0
44,2,76,5629,49,6547.0
49,2,69,5418,43,6525.0
43,2,61,6215,40,7115.0
52,3,58,5072,35,5976.0
33,1,55,5870,34,6871.0
44,2,63,6286,43,7200.0
44,1,55,5153,34,6051.0
44,1,57,5050,33,6121.0
47,2,59,6218,38,7120.0
47,2,56,4914,36,5823.0
47,3,61,6042,40,7088.0
47,2,62,4895,39,5841.0
42,2,57,5161,35,6210.0
48,3,61,5706,40,6839.0
371,2,76,5292,53,6545.0
59,3,58,5087,37,6235.0
45,2,64,5838,40,6752.0
51,2,66,6087,42,7003.0
51,1,61,4727,39,5876.0
45,2,70,5600,44,6530.0
46,2,59,5105,40,6199.0
50,3,59,5780,36,7133.0
48,2,61,5996,41,7124.0
46,3,63,5894,42,6839.0
46,1,63,5944,37,6880.0
54,1,53,6281,33,7356.0
46,1,73,6749,46,7694.0
45,2,60,5057,40,6130.0
49,1,59,5795,38,6780.0
49,2,63,5996,42,7000.0
46,2,84,5004,58,5955.0
53,1,61,5206,37,6142.0
50,3,61,5925,36,7050.0
45,2,94,5963,66,6979.0
50,2,69,5142,38,6060.0
47,2,59,5644,36,6950.0
49,2,60,5532,38,6441.0
51,2,60,5393,37,6312.0
59,2,60,6267,34,7325.0
48,3,61,5699,39,6796.0
50,2,60,5364,38,6268.0
51,2,65,5071,40,6011.0
49,2,63,5227,40,6318.0
45,2,67,5877,47,6900.0
47,2,58,5168,35,6093.0
51,1,57,5102,36,6189.0
48,2,63,5117,41,6238.0
42,2,69,5667,46,6804.0
46,1,65,5412,45,6334.0
45,2,64,4809,38,5917.0
46,1,82,5912,56,7020.0
48,2,61,5432,39,6458.0
43,2,62,5245,39,6351.0
47,2,57,5779,36,6804.0
40,2,59,6079,34,7049.0
53,1,63,4829,39,5862.0
48,3,65,5846,44,6872.0
51,1,55,4990,33,6216.0
40,2,60,5520,40,6696.0
48,2,59,5310,39,6296.0
48,2,56,5471,34,6461.0
51,3,57,6146,34,7163.0
45,2,61,5097,39,6160.0
55,2,57,5663,36,6682.0
57,2,66,6273,43,7408.0
48,2,63,6591,41,7724.0
44,1,56,6335,33,7489.0
48,1,64,5969,45,6950.0
49,1,74,5124,47,6300.0
49,2,55,4933,35,6009.0
49,1,61,5670,38,6708.0
