al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
100,2,77,5755,51,6976.0
58,2,61,6481,41,7642.0
63,3,59,5874,35,6804.0
61,2,61,5320,38,6354.0
60,1,65,5096,42,6113.0
68,2,64,6041,41,7201.0
65,2,55,5353,33,6548.0
61,2,58,5653,38,6588.0
82,2,64,5690,42,6922.0
66,2,73,5817,46,6763.0
57,2,58,5554,38,6573.0
68,2,70,4814,47,5871.0
58,2,62,5276,40,6389.0
70,1,65,5858,38,6951.0
68,1,55,5610,33,6681.0
66,2,61,5311,40,6479.0
84,2,60,5693,35,6764.0
67,3,65,5885,40,7084.0
65,1,62,5681,41,6678.0
60,2,64,5290,41,6446.0
63,2,64,6604,39,7702.0
65,1,70,5285,47,6357.0
63,2,72,5935,49,7065.0
70,2,62,5831,41,6936.0
68,2,55,5432,32,6544.0
63,2,59,5558,40,6702.0
64,2,62,4961,42,6114.0
63,2,55,5257,35,6199.0
57,3,73,5399,46,6521.0
66,2,66,5628,44,6656.0
59,2,62,5576,38,6664.0
65,1,55,5359,37,6354.0
63,2,55,5397,36,6480.0
62,2,62,5791,40,6915.0
64,1,55,5924,35,7119.0
67,2,63,5806,42,6818.0
72,2,53,5645,33,6690.0
66,2,60,4659,40,5751.0
63,1,59,5724,40,6669.0
64,2,59,4867,40,5979.0
64,2,59,5743,39,6689.0
68,1,67,5069,42,6174.0
64,2,73,5987,49,6974.0
63,2,66,5908,44,7046.0
69,2,63,5558,40,6584.0
76,1,54,5399,33,6464.0
65,1,63,5675,39,6796.0
67,1,60,6166,38,7104.0
77,2,68,5249,43,6584.0
63,2,54,5760,33,6785.0
64,2,64,5302,44,6276.0
69,1,66,5666,43,6792.0
108,2,58,6015,35,7042.0
66,2,64,5655,43,6791.0
77,2,55,5588,36,6582.0
62,2,64,5665,42,6746.0
74,2,75,5829,44,6861.0
66,2,60,5821,38,7013.0
66,2,75,5766,50,6717.0
65,2,61,5389,39,6614.0
64,2,58,5448,35,6404.0
71,2,63,6408,38,7527.0
64,1,54,5787,33,6706.0
68,2,59,5282,37,6334.0
62,2,63,4869,41,5804.0
64,2,60,5294,36,6246.0
65,2,66,5022,43,6312.0
62,1,74,5949,48,7050.0
66,2,66,5253,43,6439.0
145,3,63,5880,41,6903.0
145,1,57,5747,37,6832.0
63,2,75,5451,47,6665.0
66,2,72,5946,49,6988.0
56,1,57,4888,36,5887.0
68,2,60,5435,38,6548.0
68,3,63,5311,42,6348.0
65,2,58,5381,36,6425.0
66,2,67,5430,42,6776.0
68,2,61,5852,41,6797.0
64,1,63,5501,40,6618.0
71,2,58,5569,36,6539.0
66,1,53,5235,33,6287.0
66,1,56,5602,36,6629.0
76,1,53,5548,33,6604.0
68,2,63,5469,43,6384.0
84,2,58,5924,37,7063.0
73,1,59,5955,37,6882.0
69,3,69,5432,45,6432.0
63,2,69,5199,40,6150.0
68,2,82,5691,51,6631.0
73,3,62,6447,40,7518.0
67,2,66,5303,41,6286.0
59,4,56,5460,34,6648.0
61,1,57,5832,36,6906.0
68,2,77,5535,48,6475.0
71,2,80,5494,47,6840.0
72,1,63,6066,41,7210.0
65,1,54,5963,33,7187.0
61,3,54,6088,33,7019.0
67,2,61,5807,40,6736.0
