al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
288,2,74,5382,51,6978.0
128,2,67,4790,44,5844.0
117,1,60,5663,41,6779.0
125,2,62,4845,42,5992.0
126,2,58,6739,36,7790.0
119,1,80,6194,48,7423.0
129,2,52,5952,33,7061.0
135,2,57,5095,38,6274.0
134,2,65,5046,42,6273.0
125,1,54,5149,33,6428.0
123,2,59,4978,37,6080.0
148,1,56,5739,33,6982.0
144,2,60,6040,41,7176.0
134,3,96,5737,64,6921.0
131,1,60,5122,38,6446.0
127,2,62,5445,37,6517.0
125,2,92,6071,59,7462.0
121,1,51,5269,33,6391.0
132,2,68,6078,45,7459.0
129,2,64,4935,43,5944.0
128,2,61,5559,38,6628.0
131,1,53,4889,34,5964.0
141,2,67,5205,46,6305.0
130,2,61,5413,38,6717.0
112,2,55,5337,34,6546.0
143,2,59,5770,36,6950.0
130,3,63,5625,40,6940.0
127,2,62,5297,38,6422.0
130,3,78,5868,51,6930.0
173,2,61,4950,37,6159.0
121,2,73,5287,49,6353.0
117,2,55,5771,35,6906.0
124,2,55,5189,37,6272.0
128,1,67,5241,48,6364.0
119,2,65,5730,43,6983.0
129,3,63,5751,39,6903.0
123,1,64,5623,39,6619.0
126,4,59,5453,35,6537.0
132,2,76,6280,48,7395.0
123,2,54,5693,33,6941.0
123,2,60,5699,38,6839.0
355,3,64,5723,40,7080.0
132,2,65,5186,38,6354.0
123,2,68,5553,43,6677.0
132,3,62,6523,41,7595.0
125,3,61,6087,40,7238.0
133,2,63,5742,41,6757.0
132,1,63,5371,41,6721.0
125,3,59,5826,37,6876.0
131,2,65,5559,43,6860.0
126,2,64,5339,42,6398.0
132,2,61,5802,40,6834.0
133,2,60,6223,39,7346.0
119,2,63,5485,43,6566.0
125,2,62,5474,41,6647.0
125,2,63,6143,41,7273.0
130,2,83,5327,52,6457.0
120,2,66,5024,43,6034.0
131,1,72,5776,43,7052.0
123,2,62,5519,41,6810.0
130,2,55,5884,36,7106.0
131,2,59,5740,38,6834.0
130,2,63,5628,41,6800.0
128,2,63,6002,40,7019.0
130,2,66,6162,45,7202.0
130,2,60,5195,39,6371.0
125,2,55,5498,33,6485.0
135,2,70,5602,49,6803.0
147,2,67,5833,45,6860.0
127,1,63,5546,37,6648.0
134,2,59,5140,38,6351.0
160,2,60,5631,39,6640.0
124,2,61,5827,39,6940.0
124,1,57,5882,33,6845.0
135,3,82,6006,52,7158.0
131,2,61,5907,42,7016.0
132,2,81,5643,55,6823.0
121,2,65,5563,41,6545.0
130,2,60,5643,40,6927.0
122,2,54,5803,36,7024.0
135,1,60,5271,37,6420.0
125,3,58,5900,39,7088.0
260,2,61,5892,37,7156.0
183,2,62,5300,41,6847.0
135,2,58,5963,38,7004.0
126,2,59,5898,39,6914.0
128,2,59,5810,40,7018.0
133,2,54,5039,34,6211.0
136,2,60,5896,38,7057.0
150,3,58,6446,37,7680.0
131,1,74,5572,49,6856.0
132,2,70,6270,44,7394.0
134,2,65,5726,38,7018.0
125,3,58,5178,38,6236.0
140,2,63,5266,43,6285.0
133,1,68,6003,38,7224.0
128,1,65,6008,44,7058.0
131,2,61,5390,37,6508.0
142,3,55,5363,36,6573.0
127,3,60,5168,40,6296.0
