al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
316,3,70,5776,47,7224.0
137,2,66,6337,42,7444.0
145,2,70,6681,45,7946.0
143,1,70,5980,49,7066.0
144,2,66,6962,45,8267.0
137,2,63,7423,40,8730.0
329,2,63,6368,39,7898.0
139,1,59,5710,41,7172.0
151,2,77,6109,47,7392.0
139,2,59,7104,39,8438.0
139,2,65,5551,43,6986.0
147,2,65,6254,43,7920.0
146,2,55,5855,35,6989.0
141,2,64,6396,42,7506.0
142,1,68,6028,44,7392.0
141,2,60,6129,41,7201.0
149,2,67,5779,46,7026.0
152,1,61,5831,37,7080.0
144,1,58,6919,35,8009.0
139,2,77,6534,55,7787.0
145,3,74,5695,51,6976.0
142,2,61,6072,41,7201.0
138,2,65,5934,41,7246.0
150,2,67,5467,45,6555.0
159,2,74,6034,53,7175.0
140,2,69,6670,45,7899.0
153,2,66,6622,46,7721.0
143,2,60,6536,38,7864.0
134,2,59,6917,40,8070.0
149,2,70,6763,47,7903.0
140,1,64,6077,41,7348.0
152,2,63,7031,40,8118.0
138,2,61,6239,40,7454.0
148,2,60,5962,40,7062.0
144,2,68,6033,45,7264.0
147,2,59,6525,39,7611.0
147,2,64,5559,41,6753.0
136,1,56,6285,38,7361.0
146,2,64,5955,42,7173.0
131,2,64,5920,41,7183.0
142,2,60,5800,39,7207.0
133,1,91,6055,58,7284.0
144,2,82,6218,59,7422.0
140,1,64,6793,43,7930.0
145,3,79,6204,50,7375.0
135,1,55,6292,35,7724.0
141,2,60,5866,39,7065.0
135,3,72,5659,51,7055.0
135,2,85,6305,56,7612.0
145,2,63,5447,39,6657.0
148,1,64,5969,42,7360.0
130,2,73,6852,49,8037.0
145,2,71,6365,47,7653.0
144,2,80,6127,52,7350.0
143,2,55,5692,34,7082.0
142,1,63,5611,43,6846.0
141,1,65,6472,42,7733.0
141,3,64,5941,41,7186.0
147,2,65,7105,43,8513.0
134,2,86,6760,62,7927.0
139,2,67,6715,46,7835.0
143,2,91,7505,61,8693.0
132,2,57,5746,38,6886.0
143,2,58,7066,38,8249.0
176,2,62,5649,43,6907.0
138,2,74,6029,48,7227.0
166,2,66,5383,44,6514.0
158,2,72,6714,49,8147.0
233,2,60,6604,42,8020.0
137,2,62,5703,40,6974.0
138,2,63,6425,42,7660.0
145,2,59,6747,39,7964.0
137,2,63,5963,41,7063.0
137,2,67,6081,44,7361.0
142,3,60,6656,38,7769.0
138,1,60,6024,41,7277.0
257,2,64,6471,42,7961.0
118,2,65,6187,45,7268.0
147,2,62,5254,40,6510.0
142,2,63,6010,41,7328.0
138,2,74,5718,48,7326.0
138,3,86,6360,56,7928.0
136,2,63,6767,38,7875.0
142,5,66,5282,43,6882.0
136,1,59,5944,35,7407.0
149,2,68,6700,46,7980.0
143,1,60,6426,35,7681.0
144,2,58,7479,38,8596.0
140,1,68,5969,42,7259.0
132,3,65,6330,43,7521.0
372,1,69,5506,46,7203.0
143,2,59,6305,36,7439.0
150,2,70,5801,46,7308.0
130,2,70,6366,48,7605.0
144,2,64,6481,44,7720.0
135,2,63,6444,41,7642.0
142,2,63,6103,44,7238.0
147,2,93,6496,60,7654.0
147,2,61,6681,39,7980.0
144,1,59,5632,34,6853.0
