Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,13,6,0,8,1,193,3,130,1,235,38,65,239.0,90.0
0,10,7,0,8,1,183,3,140,1,224,17,63,228.0,87.0
0,13,6,0,8,0,173,3,131,1,216,16,76,219.0,84.0
0,11,7,0,8,0,170,3,131,1,211,13,70,214.0,99.0
0,15,6,0,8,0,169,3,132,1,216,12,55,220.0,92.0
0,11,6,0,8,1,170,3,132,1,213,13,71,217.0,78.0
0,8,7,0,9,1,169,3,131,1,210,13,64,213.0,97.0
0,15,6,0,8,1,168,3,130,1,215,13,72,219.0,84.0
0,14,7,0,8,1,181,3,139,1,226,16,68,229.0,94.0
0,16,6,0,10,1,174,3,133,1,224,15,76,227.0,88.0
0,12,7,0,8,1,168,3,130,1,210,12,70,214.0,100.0
0,11,6,0,8,1,171,3,132,1,212,13,64,215.0,93.0
0,14,6,0,8,1,169,3,130,1,214,13,72,217.0,88.0
0,9,7,0,8,1,177,3,135,1,217,16,62,220.0,95.0
0,15,6,0,9,1,174,3,133,1,222,15,72,226.0,86.0
0,12,7,0,8,1,182,3,137,1,225,19,68,229.0,95.0
0,12,7,0,8,1,178,3,137,1,220,15,69,223.0,92.0
0,15,6,0,11,1,176,3,135,1,226,16,54,229.0,90.0
0,13,6,0,8,1,169,3,130,1,211,13,69,214.0,76.0
0,11,6,0,8,1,169,3,130,1,211,13,68,214.0,91.0
0,11,6,0,8,0,167,3,129,1,208,13,64,212.0,93.0
0,15,6,0,8,1,168,3,131,1,213,12,66,216.0,87.0
0,12,7,0,8,1,169,3,130,1,211,13,70,215.0,89.0
0,9,6,0,8,1,167,3,130,1,207,12,76,210.0,91.0
0,15,6,0,8,1,169,3,131,1,216,13,63,220.0,100.0
0,13,7,0,7,0,168,3,130,1,210,12,63,213.0,86.0
0,14,6,0,8,0,171,3,132,1,216,13,62,219.0,84.0
0,9,7,0,8,1,176,3,134,1,216,16,54,219.0,83.0
0,13,7,0,9,1,175,3,133,1,220,16,69,224.0,76.0
0,9,7,0,8,1,171,3,133,1,211,13,79,214.0,92.0
0,9,6,0,7,1,168,3,130,1,207,13,62,211.0,107.0
0,11,6,0,8,1,168,3,130,1,210,13,75,213.0,82.0
0,15,6,0,8,1,183,3,136,1,229,16,69,232.0,104.0
0,11,6,0,8,1,168,3,130,1,211,13,63,215.0,94.0
0,15,6,0,9,1,169,3,130,1,216,13,73,219.0,88.0
0,15,6,0,10,1,168,3,130,1,218,13,77,221.0,97.0
0,14,7,0,8,1,178,3,136,1,222,16,65,225.0,98.0
0,9,7,0,8,0,177,3,137,1,216,14,63,219.0,87.0
0,11,6,0,7,1,168,3,130,1,210,13,76,214.0,87.0
0,13,7,0,10,0,171,3,132,1,218,13,66,221.0,98.0
0,13,6,0,7,1,176,3,135,1,219,15,75,223.0,90.0
0,13,6,0,9,1,169,3,131,1,215,13,66,218.0,96.0
0,15,7,0,13,1,171,3,133,1,224,13,63,227.0,87.0
0,10,6,0,8,1,170,3,131,1,210,13,65,213.0,82.0
0,14,6,0,8,0,169,3,130,1,213,13,66,217.0,94.0
0,10,6,0,8,1,170,3,131,1,210,13,75,214.0,87.0
0,12,7,0,10,1,169,3,130,1,215,13,70,218.0,100.0
0,12,6,0,8,1,176,3,138,1,218,13,70,222.0,95.0
0,10,6,0,8,1,180,3,134,1,221,20,68,225.0,93.0
0,11,6,0,8,1,169,3,130,1,211,13,68,215.0,93.0
0,8,6,0,8,1,170,3,131,1,207,13,61,211.0,92.0
0,15,6,0,8,1,169,3,131,1,216,13,76,219.0,83.0
0,10,7,0,8,1,170,3,132,1,210,13,68,213.0,98.0
0,12,7,0,8,1,170,3,132,1,212,13,67,215.0,89.0
0,10,6,0,8,1,171,3,133,1,212,13,66,214.0,92.0
0,11,6,0,8,1,170,3,132,1,212,13,88,216.0,91.0
0,9,6,0,8,1,178,3,137,1,218,16,66,222.0,112.0
0,16,6,0,8,1,169,3,131,1,215,13,64,219.0,88.0
0,7,7,0,8,1,190,4,145,1,233,17,70,236.0,88.0
0,8,6,0,8,1,177,3,138,1,217,14,78,220.0,96.0
0,15,6,0,10,1,172,3,133,1,220,13,78,223.0,109.0
0,15,6,0,8,1,169,3,130,1,217,13,70,221.0,101.0
0,15,7,0,11,1,176,3,136,1,228,15,70,232.0,100.0
0,13,6,0,8,1,175,3,134,1,219,16,68,222.0,92.0
0,15,6,0,9,0,174,3,136,1,223,13,66,226.0,88.0
0,14,6,0,9,1,169,3,131,1,215,13,70,219.0,90.0
0,11,7,0,8,0,173,3,134,1,214,13,65,217.0,93.0
0,14,6,0,7,0,169,3,131,1,213,13,84,216.0,87.0
0,10,7,0,8,1,177,3,135,1,218,16,77,221.0,112.0
0,10,7,0,8,1,180,3,138,1,221,16,66,224.0,104.0
0,8,7,0,8,1,179,3,137,1,217,16,84,220.0,88.0
0,15,6,0,9,1,169,3,131,1,218,13,62,221.0,107.0
0,11,6,0,8,1,168,3,130,1,209,13,62,212.0,84.0
0,7,6,0,8,0,168,3,130,1,205,13,64,208.0,86.0
0,8,7,0,8,1,173,3,133,1,211,15,57,215.0,85.0
0,11,6,0,8,1,174,3,133,1,216,16,80,220.0,79.0
0,13,7,0,8,1,178,3,137,1,222,16,65,226.0,105.0
0,12,6,0,8,1,169,3,131,1,213,13,70,217.0,89.0
0,11,7,0,8,0,171,3,131,1,212,14,71,216.0,93.0
0,11,6,0,8,1,169,3,130,1,210,13,68,214.0,93.0
0,11,6,0,8,1,172,3,132,1,214,14,70,217.0,92.0
0,10,6,0,8,1,169,3,130,1,209,13,67,212.0,94.0
0,10,6,0,8,1,171,3,132,1,211,13,84,214.0,92.0
0,12,7,0,9,1,178,3,136,1,222,16,69,225.0,106.0
0,11,6,0,8,1,169,3,130,1,210,14,72,215.0,93.0
0,16,7,0,8,1,170,3,131,1,215,13,64,219.0,94.0
0,8,6,0,8,1,170,3,131,1,208,14,64,213.0,83.0
0,10,6,0,8,1,170,3,132,1,210,13,82,213.0,88.0
0,11,6,0,8,0,171,3,132,1,212,13,68,215.0,102.0
0,13,6,0,7,1,170,3,131,1,212,13,76,215.0,90.0
0,13,7,0,8,1,171,3,131,1,214,14,67,218.0,100.0
0,13,6,0,10,1,171,3,132,1,217,14,68,220.0,87.0
0,8,6,0,8,1,173,3,133,1,212,14,63,215.0,94.0
0,10,6,0,8,1,170,3,132,1,210,13,63,214.0,84.0
0,11,6,0,8,1,170,3,131,1,211,13,68,214.0,92.0
0,11,7,0,8,0,176,3,134,1,217,16,71,220.0,90.0
0,12,6,0,8,1,170,3,130,1,212,14,68,215.0,92.0
0,13,6,0,8,1,170,3,131,1,213,13,72,217.0,97.0
0,8,7,0,8,1,173,7,133,1,216,14,66,220.0,90.0
0,12,6,0,8,0,170,3,131,1,212,13,24,215.0,88.0
