Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Collect Samples and Dcount Est.,Predicate Grant Injection,total,sql_exec_time,app_prep_time,app_exec_time
2,16,7,0,9,1,25,3,1,0,82,68,85.0,89.0
2,14,9,0,11,2,29,3,1,0,99,62,102.0,88.0
3,16,7,0,9,1,25,3,1,0,83,65,85.0,83.0
3,16,7,0,9,1,25,3,1,0,83,61,86.0,87.0
1,15,7,0,9,1,25,3,1,0,79,61,82.0,84.0
3,13,7,0,9,1,25,3,1,0,79,58,83.0,83.0
3,21,7,0,9,1,26,3,1,0,88,70,91.0,83.0
3,22,7,0,9,1,25,3,1,0,88,59,91.0,96.0
3,16,7,0,9,1,25,3,1,0,83,74,86.0,82.0
3,18,7,0,9,1,25,3,1,0,84,55,87.0,98.0
3,16,7,0,9,1,25,3,1,0,83,66,87.0,75.0
3,20,7,0,9,1,25,3,1,0,87,58,90.0,87.0
1,17,7,0,9,1,25,3,1,0,82,62,86.0,77.0
3,15,7,0,9,1,25,3,1,0,82,67,84.0,85.0
3,14,7,0,9,1,25,3,1,0,81,58,85.0,91.0
3,16,6,0,9,1,25,3,1,0,82,61,85.0,80.0
1,16,7,0,9,1,26,3,1,0,82,60,85.0,81.0
1,13,7,0,9,1,25,3,1,0,78,59,81.0,84.0
3,17,7,0,9,1,25,3,1,0,83,59,86.0,80.0
2,19,7,0,9,1,25,3,1,0,85,67,88.0,82.0
1,13,7,0,9,1,25,3,1,0,77,64,80.0,90.0
3,16,6,0,9,1,25,3,1,0,83,57,86.0,86.0
3,13,7,0,9,1,25,3,1,0,80,56,83.0,81.0
3,14,7,0,9,1,25,3,1,0,80,58,83.0,80.0
3,16,7,0,9,1,25,3,1,0,83,65,86.0,80.0
3,19,7,0,9,1,25,3,1,0,86,61,88.0,90.0
2,13,7,0,9,1,25,3,1,0,79,58,82.0,83.0
3,17,7,0,9,1,25,3,1,0,84,65,87.0,80.0
3,16,7,0,9,1,25,3,1,0,83,63,86.0,85.0
3,16,7,0,9,1,25,3,1,0,83,68,86.0,83.0
3,19,7,0,9,1,25,3,1,0,85,74,88.0,90.0
3,15,7,0,9,1,25,3,1,0,82,57,86.0,96.0
3,16,7,0,9,1,26,3,1,0,84,62,87.0,79.0
3,16,7,0,9,1,25,3,1,0,82,66,85.0,83.0
3,17,7,0,9,1,25,3,1,0,85,59,89.0,87.0
3,16,7,0,9,1,25,3,1,0,82,62,85.0,81.0
3,17,7,0,9,1,27,3,1,0,86,61,90.0,81.0
3,13,7,0,9,1,25,3,1,0,80,69,84.0,81.0
3,16,7,0,9,1,25,3,1,0,83,66,86.0,93.0
3,16,7,0,9,1,25,3,1,0,82,61,85.0,88.0
3,13,7,0,9,1,25,3,1,0,79,60,81.0,82.0
1,12,7,0,9,1,25,3,1,0,83,66,85.0,83.0
1,13,7,0,9,1,25,3,1,0,78,64,80.0,88.0
3,17,7,0,9,1,25,3,1,0,84,55,87.0,87.0
3,15,7,0,9,1,25,3,1,0,81,63,84.0,77.0
1,13,7,0,9,1,25,3,1,0,78,70,80.0,87.0
3,14,7,0,10,1,26,3,1,0,83,65,86.0,100.0
3,14,7,0,9,1,25,3,1,0,81,66,85.0,87.0
3,16,7,0,9,1,25,3,1,0,83,63,87.0,89.0
3,19,7,0,9,1,25,3,1,0,86,59,89.0,85.0
3,13,7,0,9,1,25,3,1,0,80,64,83.0,80.0
3,16,7,0,9,1,25,3,1,0,83,65,86.0,86.0
3,16,7,0,9,1,25,3,1,0,83,65,86.0,86.0
3,15,7,0,9,1,25,3,1,0,81,76,84.0,90.0
3,15,7,0,9,1,25,3,1,0,82,61,85.0,96.0
3,17,7,0,9,1,25,3,1,0,83,86,87.0,82.0
3,14,7,0,9,1,25,3,1,0,81,60,84.0,111.0
3,13,7,0,9,1,25,3,1,0,80,61,84.0,84.0
3,20,7,0,9,1,25,3,1,0,88,60,91.0,85.0
3,12,7,0,9,1,25,3,1,0,79,85,82.0,85.0
3,14,7,0,9,1,25,3,1,0,81,63,84.0,118.0
3,17,7,0,9,1,25,3,1,0,83,85,86.0,87.0
3,18,7,0,9,1,25,3,1,0,84,61,88.0,110.0
3,15,7,0,9,1,25,3,1,0,82,63,84.0,83.0
3,13,7,0,9,1,25,3,1,0,80,62,82.0,83.0
3,13,7,0,9,1,26,3,1,0,81,62,85.0,84.0
3,15,7,0,9,1,25,3,1,0,83,64,87.0,81.0
3,20,7,0,9,1,25,3,1,0,88,66,91.0,87.0
3,17,7,0,9,1,25,3,1,0,84,59,87.0,91.0
3,17,6,0,9,1,25,3,1,0,83,77,86.0,80.0
3,18,7,0,9,1,25,3,1,0,85,64,87.0,101.0
3,17,7,0,9,1,25,3,1,0,83,69,87.0,85.0
3,23,7,0,9,1,25,3,1,0,90,63,94.0,94.0
3,20,7,0,9,1,25,3,1,0,87,64,90.0,86.0
3,19,7,0,9,1,25,3,1,0,86,77,89.0,90.0
3,16,7,0,9,1,25,3,1,0,83,70,86.0,104.0
3,26,7,0,9,1,25,3,1,0,94,76,98.0,94.0
3,24,7,0,9,1,25,3,1,0,91,57,94.0,102.0
3,15,7,0,9,1,25,3,1,0,82,75,85.0,81.0
3,17,7,0,9,1,25,3,1,0,85,62,89.0,100.0
3,16,7,0,9,1,25,3,1,0,84,67,86.0,83.0
3,17,7,0,9,1,25,3,1,0,83,60,87.0,90.0
3,26,7,0,9,1,25,3,1,0,93,64,97.0,85.0
3,19,7,0,9,1,25,3,1,0,86,61,89.0,98.0
3,16,7,0,9,1,25,3,1,0,83,58,86.0,87.0
3,13,7,0,9,1,25,3,1,0,79,63,82.0,80.0
3,22,7,0,9,1,25,3,1,0,89,77,92.0,85.0
1,13,7,0,9,1,25,3,1,0,77,64,80.0,102.0
3,15,7,0,9,1,25,3,1,0,82,60,86.0,84.0
2,20,7,0,9,1,25,3,1,0,87,80,89.0,83.0
3,18,7,0,9,1,25,3,1,0,85,59,87.0,102.0
3,15,7,0,9,1,25,3,1,0,83,71,86.0,78.0
1,15,7,0,9,1,25,3,1,0,80,56,82.0,92.0
3,16,7,0,9,1,25,3,1,0,83,63,86.0,76.0
3,20,7,0,9,1,25,3,1,0,88,67,91.0,84.0
1,13,7,0,9,1,25,3,1,0,78,61,80.0,90.0
3,21,7,0,9,1,26,3,1,0,89,61,92.0,83.0
3,20,7,0,9,1,25,3,1,0,86,62,89.0,86.0
3,15,7,0,9,1,25,3,1,0,81,61,84.0,83.0
3,21,7,0,9,1,25,3,1,0,88,24,91.0,82.0
