al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
81,69,211,3131,205,3939.0
42,2,190,3303,185,4255.0
48,2,181,3466,176,4216.0
42,2,185,3426,180,4105.0
45,2,212,3222,207,3985.0
43,3,189,3871,184,4631.0
45,2,201,3547,197,4380.0
48,2,185,3354,179,4138.0
41,2,210,3195,206,4077.0
41,2,185,3254,181,4042.0
43,2,197,3309,192,4097.0
44,1,175,3320,170,4119.0
47,2,191,3321,185,4070.0
235,2,185,3259,181,4295.0
45,2,186,3490,181,4333.0
43,2,188,3714,184,4444.0
41,1,196,3724,190,4446.0
44,2,178,3027,174,3804.0
39,2,183,3987,178,4733.0
46,2,193,3546,188,4339.0
44,1,187,3528,181,4203.0
291,2,191,3221,185,4302.0
40,1,190,3773,185,4630.0
43,2,187,2983,182,3664.0
46,2,183,3526,180,4332.0
39,3,193,3167,188,3859.0
51,3,183,3599,178,4351.0
38,1,178,3009,173,3683.0
53,2,190,3578,185,4371.0
37,2,192,3192,187,3874.0
46,1,188,3660,183,4480.0
46,1,186,3743,182,4507.0
46,3,189,3417,185,4193.0
49,2,183,3669,179,4438.0
44,2,182,2833,178,3570.0
43,2,186,3737,181,4598.0
37,2,192,3164,188,3925.0
42,2,200,3028,195,3731.0
49,2,189,3788,184,4571.0
40,3,185,4021,180,4737.0
43,3,198,3591,192,4312.0
36,2,181,3223,178,3975.0
42,2,194,3877,189,4572.0
41,3,195,2933,191,3692.0
41,2,191,3025,185,3833.0
40,2,185,3084,180,3754.0
46,2,191,3421,186,4185.0
51,3,192,3764,188,4691.0
38,1,185,2995,181,3698.0
41,2,202,2993,197,3764.0
44,2,206,3520,200,4316.0
41,2,198,3039,194,3876.0
42,2,200,3364,194,4047.0
44,2,194,3206,190,3902.0
41,1,182,3225,177,3947.0
37,2,193,3146,188,3888.0
35,2,190,3404,186,4077.0
45,2,192,3567,188,4312.0
44,1,201,3660,197,4413.0
40,2,196,3682,191,4438.0
45,1,189,3407,184,4096.0
46,2,183,3891,177,4650.0
45,1,185,3797,180,4624.0
36,2,179,3478,174,4211.0
45,1,192,3204,187,3934.0
38,2,189,3164,185,3847.0
46,1,193,3355,188,4126.0
37,2,180,3579,176,4425.0
42,1,188,3722,183,4524.0
45,1,180,3571,174,4342.0
688,2,197,3624,192,5406.0
1017,2,196,2988,192,4690.0
47,2,188,3452,184,4159.0
46,2,214,3322,209,4105.0
41,1,184,3954,179,4718.0
46,2,185,3596,181,4400.0
46,3,204,4027,198,4897.0
40,2,179,3475,174,4198.0
48,2,196,3652,191,4464.0
38,1,198,3701,191,4486.0
36,2,195,3279,190,4085.0
43,2,187,3476,182,4209.0
45,2,182,3189,177,3928.0
48,1,187,3695,183,4372.0
47,1,180,3573,176,4291.0
47,1,185,3187,180,3931.0
46,2,188,3372,184,4077.0
45,2,179,3462,174,4279.0
46,1,184,3611,180,4363.0
39,1,186,2971,182,3664.0
45,2,201,2968,196,3737.0
39,2,205,3202,201,3980.0
47,1,186,3346,181,4144.0
46,1,181,3356,177,4097.0
41,1,195,3376,190,4121.0
39,1,200,3462,197,4197.0
69,2,184,3485,179,4191.0
44,2,186,3848,182,4617.0
42,1,189,3402,185,4084.0
43,2,199,3464,193,4295.0
