al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
68,1,186,3691,182,4492.0
60,1,192,3660,186,4494.0
71,1,192,3174,188,4028.0
61,2,209,3814,204,4588.0
63,2,191,3235,186,4037.0
395,2,190,2915,185,4159.0
60,2,205,3398,200,4231.0
65,2,188,2908,184,3721.0
62,2,194,3781,190,4571.0
65,2,190,3538,184,4383.0
60,2,193,2884,189,3687.0
61,2,192,3353,187,4103.0
63,1,190,3550,186,4267.0
2978,2,198,3179,194,7010.0
55,2,189,3118,184,3825.0
60,2,183,3880,178,4751.0
63,1,180,3877,176,4634.0
56,1,188,3471,183,4176.0
45,2,199,3806,195,4586.0
88,3,187,3236,183,3973.0
68,1,183,3614,177,4345.0
58,2,196,3466,191,4317.0
66,1,196,3542,190,4319.0
66,2,184,3463,179,4321.0
52,1,183,3348,179,4085.0
63,2,199,3806,193,4600.0
61,2,205,3779,201,4611.0
93,2,182,3571,178,4344.0
65,1,182,3920,178,4721.0
65,2,204,3720,201,4552.0
67,2,190,3405,185,4194.0
63,2,193,3220,187,4139.0
62,2,194,3450,189,4286.0
62,3,193,3420,189,4212.0
108,2,190,3330,186,4188.0
52,2,193,3735,189,4499.0
55,2,179,3588,174,4375.0
58,1,188,3129,183,3902.0
67,2,198,3845,192,4575.0
64,2,186,3632,182,4512.0
59,1,178,3011,174,3727.0
168,2,191,3699,186,4670.0
49,1,188,3258,182,4009.0
65,1,181,3453,177,4208.0
58,2,193,3186,188,3935.0
63,2,199,3865,194,4587.0
62,2,199,3133,193,3900.0
47,2,185,3709,181,4390.0
63,3,190,3392,186,4169.0
63,1,199,3774,194,4551.0
61,1,215,3891,209,4675.0
54,1,188,3068,184,3753.0
59,2,203,3341,198,4188.0
65,1,191,3811,186,4511.0
58,1,199,3363,196,4099.0
65,2,191,3889,186,4663.0
63,2,193,3003,189,3804.0
46,2,192,3263,186,4040.0
54,2,188,3684,184,4417.0
61,2,207,3268,203,4072.0
64,2,185,3407,180,4109.0
56,2,188,3027,183,3920.0
64,1,189,3027,185,3741.0
55,1,185,3483,179,4292.0
56,2,202,4138,198,4916.0
63,2,190,3970,185,4842.0
55,1,189,3002,185,3713.0
66,2,190,3391,186,4091.0
62,2,192,3084,187,3828.0
61,1,197,3396,193,4171.0
55,2,184,3400,179,4214.0
61,2,185,3052,180,3760.0
62,1,186,3144,182,3918.0
57,1,186,3572,181,4338.0
64,2,214,3559,208,4399.0
65,2,185,3067,180,3848.0
62,1,187,3406,183,4236.0
64,2,187,3389,182,4097.0
65,2,187,3313,182,4090.0
55,1,179,3370,175,4081.0
67,1,191,3338,185,4124.0
62,3,185,3198,181,3890.0
62,1,184,3339,180,4134.0
58,2,189,3008,185,3831.0
58,2,188,3324,183,4038.0
68,2,200,3576,196,4370.0
59,2,186,3657,182,4349.0
72,2,211,3333,207,4150.0
71,2,190,3608,186,4524.0
57,1,187,3903,182,4677.0
62,1,186,3799,181,4662.0
71,2,186,3394,180,4102.0
67,2,181,3421,176,4233.0
63,2,196,3592,191,4407.0
64,2,192,2907,187,3723.0
63,1,185,3393,181,4085.0
61,2,189,3562,184,4354.0
66,2,186,3339,182,4051.0
69,2,188,3605,184,4437.0
59,1,192,3205,187,3904.0
