al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
249,2,183,3096,178,3994.0
102,1,199,3370,193,4204.0
106,2,195,3111,190,3858.0
102,2,189,3355,185,4145.0
100,2,192,3424,186,4160.0
93,2,198,3363,193,4230.0
87,1,188,3174,182,3892.0
93,1,198,3117,192,3897.0
99,2,193,3707,189,4534.0
94,1,181,3670,177,4416.0
95,1,183,2940,178,3771.0
132,1,189,3678,185,4438.0
101,2,199,3446,195,4310.0
92,2,196,3162,192,3975.0
110,2,214,3153,210,3951.0
90,3,186,3565,182,4321.0
93,2,184,3287,179,4037.0
92,2,188,3397,183,4130.0
91,1,181,3143,176,3885.0
89,2,183,3681,179,4578.0
88,2,191,3639,186,4446.0
99,2,195,4044,191,4863.0
95,1,198,2995,192,3732.0
102,2,180,3807,175,4598.0
97,1,189,3424,186,4157.0
98,4,187,3436,183,4243.0
98,2,187,3139,182,3871.0
101,2,215,3214,209,4074.0
97,2,180,3124,175,3836.0
90,2,179,3773,175,4548.0
122,2,192,3124,185,3959.0
126,2,195,3065,188,3835.0
99,2,183,3338,178,4132.0
106,3,207,3388,201,4179.0
100,2,204,3122,197,3876.0
91,1,187,3099,183,4022.0
89,2,174,2897,170,3676.0
93,2,194,3520,190,4338.0
91,2,208,3095,203,3912.0
241,2,189,3050,184,3949.0
104,1,185,3548,180,4300.0
102,2,194,3540,190,4377.0
104,2,193,3228,187,4042.0
97,2,187,3321,182,4214.0
86,3,192,4031,186,4781.0
93,1,187,3660,183,4385.0
95,2,189,3342,184,4181.0
98,1,188,3444,183,4235.0
95,2,197,3198,192,4129.0
96,2,185,3645,179,4392.0
95,2,186,3465,182,4192.0
93,1,176,3571,171,4435.0
92,1,196,3942,190,4736.0
92,2,220,3171,214,4018.0
101,2,188,3098,184,3960.0
101,1,184,3112,181,3848.0
93,2,201,3376,196,4252.0
95,1,184,3359,180,4144.0
98,1,194,3590,190,4415.0
97,2,190,3304,185,4226.0
93,2,196,3467,192,4210.0
101,1,186,3353,181,4102.0
94,2,195,3741,190,4629.0
99,2,199,3555,194,4314.0
101,2,193,3438,189,4202.0
99,2,194,3284,190,4186.0
95,2,196,2925,192,3734.0
101,3,198,3517,192,4349.0
92,1,190,3334,185,4149.0
90,2,188,3044,183,3767.0
95,1,181,3194,177,3912.0
91,1,186,3216,182,3971.0
101,1,199,3314,194,4064.0
97,2,191,3115,186,3857.0
101,2,196,3199,191,3994.0
88,1,194,3521,189,4252.0
102,2,200,3402,195,4270.0
86,2,186,3834,181,4548.0
83,2,190,3366,186,4165.0
102,1,191,3470,185,4273.0
96,1,208,3560,203,4307.0
91,2,202,3237,197,4240.0
87,2,204,3193,198,4022.0
94,2,190,3383,183,4187.0
95,2,186,3529,181,4291.0
94,2,194,3683,189,4435.0
90,1,188,3045,184,3836.0
88,2,196,3096,191,3830.0
92,2,191,3599,187,4428.0
88,1,190,3329,185,4052.0
89,1,187,3187,182,3970.0
92,2,186,2872,182,3614.0
100,1,187,3101,181,3922.0
96,2,194,3210,189,3947.0
100,2,204,3552,200,4430.0
105,1,178,3160,175,3906.0
95,2,201,3346,196,4128.0
90,2,188,2881,183,3694.0
100,2,195,3332,191,4243.0
232,1,187,3727,182,4754.0
