Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,7,6,0,7,1,146,9,100,1,187,31,220,190.0,219.0
0,12,6,0,8,1,125,9,105,1,171,5,196,174.0,224.0
0,15,6,0,7,1,126,9,106,1,176,5,216,180.0,200.0
0,11,6,0,8,1,130,9,109,1,176,5,235,179.0,221.0
0,12,6,0,7,1,124,9,104,1,171,5,209,175.0,240.0
0,10,6,0,7,1,126,9,105,1,170,5,198,173.0,213.0
0,10,6,0,8,1,125,9,105,1,170,5,216,173.0,203.0
0,11,6,0,8,1,128,9,108,1,176,5,230,179.0,223.0
0,8,6,0,8,0,126,9,106,1,168,5,219,171.0,237.0
0,14,6,0,8,0,125,9,105,1,174,5,208,177.0,224.0
0,10,6,0,8,1,126,9,106,1,171,5,204,175.0,212.0
0,7,6,0,8,0,125,9,105,1,167,5,211,171.0,208.0
0,13,6,0,7,1,125,9,105,1,172,5,207,175.0,215.0
0,9,6,0,8,1,127,9,106,1,170,5,211,174.0,211.0
0,12,6,0,8,1,126,9,106,1,173,5,201,177.0,215.0
0,11,6,0,8,1,126,9,106,1,172,5,210,175.0,205.0
0,9,6,0,8,1,127,9,106,1,171,5,212,174.0,214.0
0,8,6,0,8,1,127,9,107,1,170,5,220,173.0,217.0
0,10,7,0,8,1,131,9,110,1,176,5,203,180.0,225.0
0,7,6,0,8,1,125,9,105,1,167,5,219,170.0,207.0
0,10,6,0,8,1,126,9,106,1,171,5,223,175.0,225.0
0,9,6,0,7,1,126,9,105,1,170,5,211,172.0,227.0
0,11,6,0,8,1,125,9,105,1,171,5,199,175.0,215.0
0,7,6,0,8,1,126,9,106,1,168,5,227,172.0,204.0
0,12,6,0,8,0,125,9,105,1,171,5,207,175.0,233.0
0,13,6,0,8,1,127,9,106,1,175,5,206,179.0,211.0
0,12,6,0,8,0,126,9,106,1,173,5,196,177.0,210.0
0,8,6,0,8,1,126,9,106,1,169,5,210,172.0,201.0
0,11,6,0,8,1,130,10,109,1,178,5,207,182.0,214.0
0,12,6,0,8,1,125,9,104,1,171,5,212,175.0,212.0
0,11,6,0,8,1,127,9,106,1,173,5,216,176.0,217.0
0,14,6,0,8,1,127,9,106,1,177,5,217,181.0,222.0
0,12,6,0,8,1,127,9,106,1,174,5,213,178.0,221.0
0,11,6,0,8,1,126,9,106,1,172,5,223,176.0,218.0
0,9,6,0,8,0,125,9,105,1,169,5,209,173.0,227.0
0,8,6,0,8,1,126,9,106,1,169,5,211,172.0,214.0
0,11,6,0,8,1,127,9,106,1,173,5,212,177.0,216.0
0,13,6,0,8,1,126,9,106,1,174,5,199,177.0,217.0
0,9,6,0,8,1,128,9,107,1,172,5,209,175.0,204.0
0,8,6,0,8,1,127,9,106,1,170,5,213,173.0,214.0
0,12,6,0,8,1,126,9,106,1,174,5,209,178.0,217.0
0,11,6,0,8,1,126,9,106,1,173,5,210,176.0,214.0
0,8,6,0,8,1,126,9,106,1,169,5,206,172.0,214.0
0,15,7,0,8,1,130,9,109,1,180,5,214,184.0,210.0
0,10,6,0,8,1,126,9,106,1,172,5,207,175.0,219.0
0,8,6,0,8,1,126,9,105,1,168,5,223,172.0,211.0
0,10,6,0,8,1,126,9,106,1,171,5,210,175.0,227.0
0,12,6,0,8,1,131,9,110,1,178,5,210,182.0,215.0
0,8,6,0,7,1,125,9,105,1,167,5,200,171.0,216.0
0,12,6,0,8,1,126,9,105,1,172,5,223,176.0,205.0
0,12,6,0,8,1,129,9,108,1,177,5,219,180.0,228.0
0,11,6,0,8,1,126,9,106,1,173,5,204,176.0,224.0
0,10,6,0,8,1,126,9,106,1,171,5,227,174.0,208.0
0,12,6,0,8,1,127,9,106,1,174,5,203,177.0,233.0
0,13,6,0,8,1,126,9,106,1,173,5,221,176.0,207.0
0,11,6,0,8,1,126,9,105,1,172,5,217,176.0,225.0
0,8,6,0,7,1,126,9,106,1,169,5,215,173.0,222.0
0,10,6,0,8,1,124,9,104,1,168,5,213,172.0,220.0
0,8,6,0,7,1,126,9,106,1,169,5,206,172.0,218.0
0,7,6,0,8,1,126,9,106,1,168,5,204,171.0,210.0
0,8,6,0,8,1,125,9,105,1,168,5,210,171.0,208.0
0,8,6,0,8,1,126,9,105,1,168,5,211,171.0,214.0
0,8,6,0,8,1,132,9,111,1,175,5,205,179.0,217.0
0,11,6,0,8,1,126,9,105,1,172,5,213,175.0,211.0
0,11,6,0,8,1,131,9,109,1,177,5,216,181.0,217.0
0,10,6,0,8,1,126,9,106,1,171,5,205,175.0,220.0
0,10,6,0,7,1,126,9,106,1,170,5,205,174.0,211.0
0,8,6,0,8,1,126,9,106,1,168,5,209,172.0,209.0
0,10,6,0,8,0,126,9,106,1,171,5,228,174.0,213.0
0,9,6,0,7,1,125,9,105,1,169,5,208,174.0,233.0
0,8,6,0,8,0,125,9,105,1,168,5,212,171.0,212.0
0,13,6,0,8,1,127,9,106,1,174,5,215,178.0,217.0
0,12,6,0,8,1,129,9,108,1,177,5,218,182.0,219.0
0,11,6,0,9,1,125,9,105,1,173,5,201,176.0,223.0
0,11,6,0,8,1,125,9,105,1,172,5,206,174.0,205.0
