Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Collect Samples and Dcount Est.,Predicate Grant Injection,total,sql_exec_time,app_prep_time,app_exec_time
4,24,7,0,9,1,28,3,1,0,96,58,99.0,84.0
4,17,7,0,9,1,28,3,1,0,88,60,92.0,82.0
4,15,7,0,9,1,28,3,1,0,86,62,89.0,82.0
4,20,7,0,9,1,28,4,1,0,93,70,96.0,84.0
3,18,7,0,10,1,31,4,1,0,95,59,99.0,95.0
3,23,7,0,9,1,28,3,1,0,94,60,98.0,81.0
4,21,7,0,9,1,28,3,1,0,92,57,96.0,83.0
4,18,7,0,9,1,28,5,1,0,92,63,95.0,83.0
2,16,7,0,9,1,28,3,1,0,85,58,88.0,84.0
2,17,7,0,9,1,28,3,1,0,86,55,89.0,79.0
3,20,7,0,9,1,28,3,1,0,90,56,93.0,76.0
3,13,7,0,9,1,28,3,1,0,84,65,87.0,76.0
2,15,7,0,9,1,28,3,1,0,87,71,89.0,90.0
4,27,7,0,9,1,28,3,1,0,100,67,103.0,94.0
1,13,7,0,9,1,28,3,1,0,82,65,85.0,89.0
3,15,7,0,9,1,28,3,1,0,86,65,89.0,88.0
4,17,7,0,9,1,28,3,1,0,89,62,92.0,87.0
4,14,7,0,9,1,28,3,1,0,85,75,89.0,85.0
4,15,7,0,9,1,28,4,1,0,88,61,91.0,97.0
4,19,7,0,9,1,28,3,1,0,91,79,94.0,81.0
4,15,7,0,9,1,27,3,1,0,86,61,90.0,102.0
3,19,7,0,9,1,28,3,1,0,90,63,93.0,84.0
3,13,7,0,9,1,28,3,1,0,85,61,88.0,84.0
2,15,7,0,9,1,28,4,1,0,86,60,89.0,81.0
2,13,7,0,9,1,28,4,1,0,86,57,90.0,80.0
3,15,7,0,9,1,28,3,1,0,86,64,90.0,82.0
4,22,7,0,9,1,28,3,1,0,94,63,97.0,88.0
2,14,7,0,9,1,28,3,1,0,83,71,86.0,84.0
3,22,7,0,9,1,27,3,1,0,93,76,95.0,98.0
3,14,7,0,9,1,28,4,1,0,85,85,88.0,104.0
3,20,7,0,9,1,28,3,1,0,91,58,94.0,112.0
4,15,7,0,9,1,28,3,1,0,87,69,91.0,79.0
4,19,7,0,9,1,28,3,1,0,91,81,94.0,92.0
4,19,7,0,9,1,28,3,1,0,91,63,94.0,108.0
4,17,7,0,9,1,28,3,1,0,89,66,91.0,86.0
3,19,7,0,9,1,28,3,1,0,90,68,93.0,88.0
3,16,7,0,9,1,28,3,1,0,87,78,90.0,90.0
2,14,7,0,9,1,28,3,1,0,83,60,86.0,108.0
4,15,7,0,9,1,28,3,1,0,87,54,90.0,81.0
3,17,7,0,9,1,28,3,1,0,88,74,91.0,76.0
3,16,7,0,9,1,28,3,1,0,86,58,90.0,96.0
3,21,7,0,9,1,28,3,1,0,92,61,96.0,81.0
3,13,7,0,9,1,28,3,1,0,84,77,88.0,82.0
2,13,7,0,9,1,27,3,1,0,82,60,84.0,104.0
4,15,7,0,9,1,28,3,1,0,87,55,92.0,81.0
4,27,8,0,11,1,29,4,1,0,106,61,110.0,82.0
4,16,7,0,9,1,28,3,1,0,87,66,91.0,81.0
4,14,7,0,10,1,28,4,1,0,86,65,89.0,89.0
2,13,7,0,9,1,29,3,1,0,84,62,87.0,87.0
4,20,7,0,9,1,28,3,1,0,92,58,95.0,84.0
4,21,7,0,9,1,28,3,1,0,93,64,96.0,80.0
3,15,7,0,9,1,28,3,1,0,86,66,89.0,87.0
3,14,7,0,9,1,28,3,1,0,85,65,88.0,89.0
3,17,7,0,9,1,28,3,1,0,88,78,92.0,88.0
3,15,7,0,9,1,28,3,1,0,86,61,90.0,105.0
2,13,7,0,9,1,28,4,1,0,83,63,86.0,79.0
4,22,7,0,9,1,28,3,1,0,94,64,97.0,87.0
2,13,7,0,9,1,28,3,1,0,82,61,85.0,83.0
4,15,7,0,9,1,28,3,1,0,87,61,90.0,81.0
3,16,7,0,9,1,28,3,1,0,87,61,91.0,84.0
3,17,7,0,9,1,27,3,1,0,88,62,91.0,82.0
3,15,7,0,9,1,28,3,1,0,85,71,89.0,82.0
