al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
296,2,61,6665,40,7992.0
147,2,80,6934,56,8260.0
159,2,58,6010,35,7187.0
1993,1,65,6851,43,9896.0
164,2,69,6771,41,8165.0
156,2,57,6095,34,7265.0
152,2,87,7847,55,9139.0
138,2,70,7582,46,8763.0
160,2,69,6675,46,7923.0
161,2,68,7421,43,8804.0
168,2,78,6756,51,8026.0
162,2,66,6324,42,7613.0
243,2,65,8234,43,9787.0
152,2,73,7184,49,8458.0
167,2,59,6314,39,7492.0
155,3,70,7192,43,8506.0
151,2,74,7528,54,8704.0
154,2,76,6790,52,8192.0
155,2,64,6409,43,7583.0
153,2,71,6628,48,7804.0
158,2,56,7657,34,8859.0
155,2,74,8297,49,9563.0
153,2,62,6361,40,7630.0
151,2,74,6964,50,8160.0
163,2,61,7448,37,8737.0
147,2,53,6519,33,7674.0
148,2,67,6665,46,7925.0
156,2,72,7253,47,8433.0
162,2,64,7279,42,8554.0
139,2,69,8009,46,9322.0
151,2,83,6076,55,7515.0
146,2,55,6909,32,8077.0
151,2,64,7247,39,8574.0
155,2,83,6427,54,7971.0
152,2,58,7277,39,8487.0
149,2,71,7297,49,8834.0
1353,2,70,6810,42,9203.0
130,2,60,6540,39,7785.0
162,2,60,6226,40,7399.0
148,3,75,7666,53,8946.0
154,2,69,6804,44,7981.0
148,2,65,7385,45,8604.0
142,2,55,6372,34,7522.0
153,2,71,6209,41,7417.0
157,3,68,7237,47,8596.0
149,2,66,7064,45,8232.0
158,1,50,8696,31,10062.0
152,2,68,6576,45,7751.0
150,2,71,7288,50,8724.0
147,2,52,7773,32,8949.0
111,2,56,7461,33,8681.0
148,2,61,6821,38,7979.0
190,2,72,6952,49,8252.0
162,1,67,8136,47,9496.0
144,2,69,7401,46,8747.0
145,2,66,6791,41,8250.0
139,2,56,7577,33,8732.0
148,2,73,6816,50,8089.0
155,2,54,6930,30,8229.0
157,1,63,6436,41,7670.0
152,2,65,7481,41,9062.0
146,2,58,6898,38,8267.0
152,3,67,7133,46,8431.0
154,3,72,7833,49,9410.0
151,2,68,6913,45,8368.0
153,2,76,7476,52,8866.0
157,3,68,7318,45,8721.0
161,2,80,7052,56,8368.0
196,2,63,6207,42,7613.0
149,2,77,7037,50,8671.0
155,2,66,7627,42,8819.0
158,2,57,6361,34,7631.0
156,2,65,7302,44,8794.0
152,3,67,7060,43,8275.0
159,2,76,7777,50,9173.0
141,2,73,7589,51,8798.0
156,2,67,6645,45,7924.0
144,2,60,7079,40,8275.0
189,1,65,6886,41,8249.0
152,2,63,7424,36,8641.0
135,2,64,6531,43,7920.0
141,2,68,6650,45,7828.0
147,2,65,7750,43,9261.0
154,2,61,7004,37,8385.0
154,2,64,8084,43,9339.0
158,2,64,7916,42,9200.0
157,1,68,7618,43,9040.0
165,2,76,7639,50,9084.0
154,3,66,7116,42,8482.0
161,2,58,6828,35,8130.0
151,2,62,7321,37,8570.0
153,2,65,6732,44,8020.0
164,1,67,6316,43,7609.0
156,2,59,7723,34,9006.0
159,3,66,6245,42,7507.0
157,1,71,7635,47,8926.0
146,2,66,6042,39,7406.0
163,3,61,6226,40,7517.0
168,1,62,6047,38,7303.0
160,2,66,7066,43,8514.0
