Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,12,7,0,8,1,200,4,140,1,243,32,64,247.0,89.0
0,10,6,0,8,1,308,3,138,1,351,143,74,353.0,86.0
0,15,6,0,16,1,314,4,142,1,371,144,66,374.0,100.0
0,10,7,0,8,0,310,4,137,1,352,145,69,355.0,91.0
0,16,7,0,9,1,309,4,137,1,359,144,70,363.0,91.0
0,12,7,0,8,1,310,4,138,1,352,144,65,356.0,92.0
0,8,6,0,8,1,308,4,137,1,347,143,67,350.0,87.0
0,13,6,0,8,1,311,3,138,1,356,145,64,360.0,89.0
0,16,7,0,8,1,310,4,138,1,359,144,72,363.0,86.0
0,12,6,0,8,1,310,3,138,1,355,145,68,359.0,100.0
0,16,7,0,13,1,317,4,141,1,373,148,80,376.0,90.0
0,12,7,0,8,0,312,4,139,1,356,145,84,359.0,101.0
0,7,6,0,8,0,310,3,137,1,347,145,74,351.0,110.0
0,7,6,0,8,1,309,4,137,1,346,144,73,349.0,97.0
0,9,7,0,8,1,310,4,138,1,350,144,81,354.0,94.0
0,12,7,0,13,1,317,3,139,1,370,150,70,373.0,105.0
0,12,7,0,9,0,309,3,137,1,354,144,78,357.0,93.0
0,12,7,0,9,0,311,3,138,1,357,145,68,360.0,100.0
0,10,7,0,8,0,312,4,139,1,354,145,81,357.0,90.0
0,8,7,0,12,1,310,3,137,1,353,145,71,356.0,103.0
0,11,7,0,8,1,312,3,139,1,355,145,68,358.0,95.0
0,16,7,0,8,1,316,4,140,1,364,147,70,368.0,89.0
0,11,6,0,8,0,314,4,139,1,357,147,69,361.0,94.0
0,11,7,0,8,0,314,4,140,1,356,145,81,360.0,91.0
0,13,7,0,8,1,313,4,139,2,358,145,70,362.0,105.0
0,10,6,0,8,1,310,4,137,1,352,145,67,355.0,94.0
0,14,7,0,8,1,310,3,137,1,354,145,64,357.0,93.0
0,9,6,0,8,1,310,4,137,1,350,145,70,353.0,85.0
