Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Collect Samples and Dcount Est.,Predicate Grant Injection,total,sql_exec_time,app_prep_time,app_exec_time
2,18,7,0,9,1,18,11,1,0,81,251,84.0,245.0
2,12,7,0,9,1,18,11,1,0,75,250,79.0,255.0
2,12,7,0,9,1,18,11,1,0,74,250,77.0,255.0
2,15,7,0,8,1,18,11,1,0,79,239,82.0,254.0
1,14,7,0,9,1,17,11,1,0,75,251,78.0,242.0
1,11,6,0,8,1,17,11,1,0,70,246,73.0,255.0
1,11,7,0,9,1,18,11,1,0,73,261,76.0,250.0
1,13,7,0,9,1,18,11,1,0,73,242,76.0,265.0
2,13,7,0,9,1,18,11,1,0,74,255,78.0,246.0
2,12,7,0,9,1,18,11,1,0,74,264,77.0,260.0
1,11,7,0,9,1,18,11,1,0,72,254,76.0,269.0
1,12,6,0,8,1,18,11,1,0,73,261,76.0,258.0
2,17,7,0,9,1,17,11,1,0,78,252,82.0,265.0
1,11,7,0,8,1,18,11,1,0,71,256,75.0,256.0
1,18,7,0,9,1,17,11,1,0,78,247,80.0,261.0
1,15,7,0,9,1,18,11,1,0,76,250,79.0,252.0
2,14,6,0,8,1,18,11,1,0,76,257,80.0,254.0
2,14,8,0,10,1,18,11,1,0,81,253,84.0,262.0
1,10,7,0,9,1,17,11,1,0,70,275,73.0,257.0
2,12,7,0,9,1,18,11,1,0,74,247,78.0,280.0
1,11,7,0,8,1,18,11,1,0,72,261,75.0,251.0
2,12,7,0,8,1,18,11,1,0,73,250,76.0,266.0
1,13,6,0,8,1,18,11,1,0,74,252,77.0,255.0
2,14,7,0,8,1,18,11,1,0,77,247,80.0,257.0
1,15,6,0,8,1,18,11,1,0,76,250,79.0,251.0
2,14,7,0,9,1,18,11,1,0,76,258,79.0,254.0
1,11,7,0,9,1,18,11,1,0,72,270,75.0,262.0
1,11,6,0,8,1,17,12,1,0,72,244,75.0,274.0
2,15,7,0,8,1,18,11,1,0,76,244,81.0,248.0
2,14,7,0,8,1,18,11,1,0,76,251,79.0,248.0
1,11,7,0,9,1,17,11,1,0,70,250,73.0,256.0
2,12,6,0,8,1,18,11,1,0,74,263,77.0,254.0
2,15,7,0,9,1,18,11,1,0,77,243,81.0,268.0
2,15,6,0,8,1,18,11,1,0,76,253,80.0,246.0
2,14,6,0,8,1,18,11,1,0,76,244,79.0,257.0
2,11,7,0,9,1,18,11,1,0,74,253,77.0,250.0
2,12,6,0,8,1,18,11,1,0,73,253,76.0,257.0
2,15,7,0,9,1,18,11,1,0,77,248,80.0,258.0
1,11,7,0,9,1,18,11,1,0,71,260,75.0,252.0
2,11,7,0,8,1,18,11,1,0,73,269,77.0,264.0
2,12,7,0,8,1,17,11,1,0,73,254,76.0,275.0
2,15,7,0,9,1,18,11,1,0,77,254,81.0,259.0
1,11,6,0,8,1,18,11,1,0,71,241,74.0,259.0
2,13,7,0,8,1,18,11,1,0,75,259,78.0,245.0
2,15,7,0,9,1,18,12,1,0,79,242,82.0,263.0
1,13,7,0,8,1,18,11,1,0,73,257,76.0,246.0
2,11,7,0,9,1,18,11,1,0,72,250,76.0,261.0
1,13,7,0,9,1,18,11,1,0,74,252,77.0,254.0
1,11,7,0,8,1,17,11,1,0,70,242,74.0,256.0
2,15,7,0,9,1,18,11,1,0,77,260,80.0,246.0
1,11,7,0,9,1,18,11,1,0,72,244,75.0,264.0
1,11,7,0,9,1,18,11,1,0,71,257,75.0,248.0
2,22,7,0,9,1,18,11,1,0,84,251,88.0,262.0
1,11,7,0,8,1,17,11,1,0,70,255,74.0,255.0
1,12,7,0,9,1,18,11,1,0,77,262,79.0,260.0
2,19,7,0,9,1,18,11,1,0,80,242,83.0,267.0
2,15,7,0,8,1,18,11,1,0,77,276,80.0,246.0
2,14,6,0,8,1,18,11,1,0,75,276,79.0,281.0
1,11,6,0,8,1,18,11,1,0,71,256,73.0,281.0
1,11,6,0,8,1,18,11,1,0,71,265,74.0,261.0
2,13,7,0,9,1,18,11,1,0,74,243,78.0,270.0
2,19,7,0,9,1,18,11,1,0,82,250,85.0,247.0
2,14,6,0,8,1,18,11,1,0,77,252,81.0,254.0
1,11,7,0,8,1,18,11,1,0,71,256,75.0,256.0
2,12,7,0,9,1,18,11,1,0,75,254,78.0,261.0
2,11,7,0,8,1,18,11,1,0,72,269,76.0,259.0
2,14,7,0,8,1,17,11,1,0,75,251,78.0,275.0
1,11,7,0,8,1,18,11,1,0,71,260,74.0,255.0
1,12,6,0,8,1,18,11,1,0,73,251,76.0,265.0
2,15,6,0,8,1,18,11,1,0,77,272,80.0,255.0
1,11,7,0,9,1,18,11,1,0,73,243,76.0,277.0
2,15,7,0,8,1,18,11,1,0,77,257,79.0,246.0
1,11,7,0,9,1,18,11,1,0,72,256,74.0,262.0
2,12,7,0,9,1,18,11,1,0,74,250,77.0,260.0
2,11,7,0,8,1,17,11,1,0,73,251,76.0,254.0
2,14,7,0,8,1,18,11,1,0,75,242,79.0,256.0
1,11,6,0,8,1,17,11,1,0,71,243,74.0,247.0
2,12,7,0,8,1,18,11,1,0,73,278,77.0,248.0
2,13,6,0,8,1,18,11,1,0,74,266,77.0,283.0
1,11,7,0,8,1,18,11,1,0,71,239,74.0,270.0
2,15,7,0,8,1,18,11,1,0,76,246,80.0,243.0
1,11,7,0,8,1,18,11,1,0,72,249,75.0,250.0
1,11,6,0,8,1,18,11,1,0,72,247,74.0,254.0
1,11,7,0,9,1,18,11,1,0,74,253,77.0,251.0
2,12,6,0,8,1,18,11,1,0,73,260,76.0,257.0
2,12,7,0,8,1,18,11,1,0,74,257,77.0,265.0
2,11,6,0,8,1,18,11,1,0,73,249,76.0,262.0
1,16,7,0,8,1,18,11,1,0,77,244,80.0,254.0
2,13,7,0,9,1,18,11,1,0,75,248,79.0,248.0
2,15,7,0,8,1,18,11,1,0,77,244,80.0,253.0
