al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
106,1,230,4260,226,5314.0
104,2,255,4412,249,5430.0
69,2,222,3961,217,5251.0
58,2,235,4758,230,5789.0
66,2,243,4526,238,5543.0
62,2,238,4389,234,5450.0
64,2,237,3818,232,5012.0
62,2,247,4117,243,5086.0
71,2,239,4328,235,5289.0
66,1,231,3881,227,4953.0
65,2,243,3753,239,4871.0
72,1,262,4394,257,5406.0
68,1,231,4203,227,5132.0
76,2,228,4009,224,5062.0
196,2,229,4352,225,5598.0
62,2,243,4380,238,5344.0
1326,3,248,4796,243,7266.0
66,2,236,4721,231,5690.0
60,2,247,3854,243,4921.0
58,2,229,3832,225,4998.0
56,2,252,4065,247,5210.0
59,2,239,3794,234,4875.0
64,2,237,4124,233,5340.0
59,2,239,4388,234,5399.0
65,2,233,3908,228,4827.0
66,2,235,4150,230,5423.0
62,1,239,4117,235,5176.0
138,3,234,4717,230,5783.0
68,1,224,3556,219,4598.0
58,3,242,4280,238,5253.0
69,1,225,4469,221,5404.0
62,2,230,3987,225,5076.0
67,1,225,4455,220,5386.0
63,2,234,4203,229,5444.0
61,2,238,4186,233,5123.0
82,1,233,4913,228,5856.0
62,2,229,4147,224,5251.0
67,2,234,4451,229,5650.0
65,2,234,4801,229,6121.0
59,2,235,3658,231,4609.0
60,2,241,4103,236,5033.0
65,2,247,3701,243,4802.0
64,2,229,4080,225,5019.0
61,2,233,4386,228,5472.0
55,2,248,4054,243,5081.0
66,2,209,4456,205,5490.0
63,1,243,4264,237,5307.0
72,1,261,4340,256,5346.0
67,2,240,4452,236,5391.0
60,2,230,4258,225,5348.0
65,2,235,3820,230,4792.0
66,2,235,4680,230,5910.0
62,2,221,3675,217,4585.0
63,2,244,4643,240,5632.0
56,1,234,4277,230,5490.0
63,2,224,4285,221,5218.0
86,1,229,4087,225,5044.0
60,3,243,3937,237,4901.0
67,2,244,4403,239,5454.0
162,1,226,3755,221,4763.0
66,2,249,4427,245,5368.0
62,2,243,4177,239,5218.0
62,1,238,4118,233,5186.0
63,2,233,4204,228,5122.0
66,2,241,4319,236,5330.0
62,1,243,5138,239,6091.0
63,2,226,3795,222,4711.0
63,2,231,3928,227,4917.0
59,1,229,4560,225,5578.0
61,1,243,4545,238,5613.0
67,1,234,3995,229,4958.0
61,3,236,4096,231,5033.0
85,2,219,3959,214,5142.0
61,1,236,4743,231,5811.0
69,3,233,3950,229,4916.0
63,2,228,4088,224,5007.0
62,3,247,4855,242,5980.0
51,1,271,4296,266,5434.0
67,2,229,4433,224,5500.0
72,1,243,3832,239,4845.0
61,2,228,4231,223,5402.0
62,2,233,3646,229,4746.0
55,1,248,4315,243,5300.0
79,1,229,4005,224,5053.0
64,2,226,4686,221,5993.0
57,2,250,4091,246,5185.0
65,2,239,4359,234,5314.0
63,2,244,4885,239,6214.0
62,2,228,4063,224,5267.0
62,2,250,4133,245,5308.0
57,2,242,4180,237,5209.0
66,2,236,4482,231,5553.0
65,2,242,4417,236,5592.0
52,2,237,3746,232,4796.0
67,2,225,4359,220,5315.0
62,2,226,4619,221,5646.0
72,2,246,4397,241,5462.0
65,2,238,4368,234,5534.0
61,2,233,3944,229,5041.0
62,2,252,4183,246,5405.0
