al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
292,83,256,4704,252,6093.0
123,2,236,4405,231,5736.0
103,2,238,4008,234,4985.0
109,2,227,4353,223,5344.0
105,2,231,4321,226,5298.0
107,1,237,4417,232,5523.0
105,2,237,4403,232,5392.0
118,4,232,4103,227,5143.0
107,2,240,4196,234,5222.0
2093,2,240,3683,234,6815.0
105,2,201,4420,197,5467.0
105,1,236,4196,231,5168.0
120,1,235,3852,231,4972.0
110,2,239,4570,235,5799.0
104,2,255,4493,251,5516.0
118,2,241,3676,237,4672.0
117,2,249,4454,242,5721.0
105,1,230,3948,226,5010.0
115,2,233,4106,228,5092.0
114,2,237,3914,232,5041.0
117,1,232,3702,228,4999.0
108,2,232,4589,228,5604.0
104,2,242,4157,238,5199.0
109,2,237,3721,233,4855.0
110,1,228,4410,224,5510.0
101,1,228,4198,224,5156.0
106,1,243,4221,237,5195.0
112,2,243,4181,238,5224.0
106,1,247,4339,241,5438.0
110,2,238,4100,233,5081.0
109,3,242,3979,238,5042.0
100,3,243,3958,239,5009.0
107,1,239,4438,234,5493.0
101,2,238,4058,233,5042.0
107,2,245,3958,240,4949.0
106,1,232,4175,228,5150.0
110,3,249,4560,244,5654.0
111,1,242,4760,236,5743.0
114,1,229,4071,225,5074.0
104,2,251,4141,247,5124.0
109,2,240,4206,234,5239.0
101,2,233,4421,228,5520.0
117,3,233,4009,229,5013.0
118,2,235,3713,230,4982.0
109,2,232,4704,227,5702.0
109,1,226,3933,221,4894.0
136,2,237,4743,232,5758.0
111,3,241,4367,237,5464.0
106,1,245,4357,240,5533.0
101,1,232,4506,228,5471.0
107,2,255,4177,251,5596.0
97,2,243,4040,238,5003.0
111,2,234,3955,230,4930.0
106,2,233,3844,229,4821.0
111,2,237,4394,233,5443.0
101,2,234,4088,229,5049.0
113,2,224,3960,219,4933.0
104,2,234,4208,229,5461.0
105,2,240,4056,236,5171.0
103,3,228,4024,224,5124.0
110,2,245,4137,241,5294.0
119,2,257,4288,252,5632.0
110,2,234,4121,228,5421.0
531,2,235,4331,231,5938.0
110,2,241,4190,235,5308.0
98,2,227,3958,223,4964.0
109,1,231,3963,227,5021.0
106,2,250,3910,246,5037.0
109,2,252,4156,245,5179.0
114,1,235,4764,230,5742.0
117,2,244,3677,240,4799.0
101,1,227,4706,222,5723.0
109,2,262,4233,257,5254.0
112,2,240,4167,233,5344.0
96,2,235,4468,231,5420.0
102,1,227,4548,223,5499.0
108,2,268,3853,263,4933.0
106,1,233,4451,228,5409.0
113,2,235,4016,231,5306.0
102,2,228,4591,224,5651.0
107,2,238,4220,233,5362.0
111,2,241,4482,236,5807.0
112,1,228,4005,224,5220.0
112,3,239,4526,235,5689.0
113,2,249,4049,244,5314.0
102,1,246,4422,242,5533.0
100,2,236,4582,232,5587.0
109,2,226,3889,221,5020.0
103,1,227,3970,222,5162.0
104,1,229,4487,225,5588.0
110,2,232,4141,228,5253.0
149,2,230,4546,225,5703.0
107,2,230,4222,225,5286.0
107,2,240,4743,236,5865.0
107,2,229,4198,225,5566.0
99,2,219,4098,215,5101.0
112,2,237,4403,233,5441.0
121,2,227,4199,223,5194.0
119,2,228,3836,223,4921.0
108,2,245,4691,240,5868.0
