Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,14,6,0,9,0,91,6,78,1,139,5,90,142.0,88.0
0,12,6,0,7,0,94,6,78,1,135,8,92,138.0,94.0
0,11,6,0,8,0,95,6,78,1,137,8,94,140.0,97.0
0,12,6,0,8,0,96,6,79,1,138,9,83,146.0,99.0
0,10,6,0,7,0,93,6,78,1,132,8,86,136.0,87.0
0,15,6,0,8,0,95,6,78,1,141,8,93,144.0,91.0
0,7,6,0,9,1,94,6,77,1,133,9,87,135.0,98.0
0,14,6,0,8,1,95,6,78,1,139,9,94,143.0,91.0
0,12,6,0,8,1,101,6,83,1,144,10,91,147.0,98.0
0,15,6,0,8,0,102,6,84,1,150,10,96,153.0,95.0
0,12,6,0,7,0,93,6,78,1,135,8,103,138.0,100.0
0,15,6,0,8,1,94,6,78,1,141,8,88,145.0,109.0
0,14,6,0,8,0,94,6,78,1,139,8,90,143.0,94.0
0,10,6,0,7,1,95,6,79,1,135,8,99,138.0,94.0
0,13,6,0,8,0,94,6,77,1,137,9,97,141.0,104.0
0,13,6,0,8,1,103,6,84,1,146,10,90,150.0,102.0
0,12,6,0,8,0,97,6,81,1,141,8,88,145.0,94.0
0,15,6,0,9,1,95,6,79,1,144,8,86,148.0,92.0
0,11,6,0,8,1,95,6,78,1,137,9,90,140.0,91.0
0,15,6,0,8,0,101,6,83,1,150,10,99,153.0,94.0
0,11,6,0,8,1,95,6,77,1,136,9,90,140.0,103.0
0,14,6,0,8,0,104,6,86,1,150,10,87,153.0,95.0
0,11,6,0,8,1,95,6,79,1,138,8,91,141.0,92.0
0,7,6,0,8,0,97,6,80,1,135,9,90,139.0,95.0
0,13,6,0,8,1,101,6,83,1,145,10,98,148.0,94.0
0,15,6,0,9,1,95,6,78,1,145,9,90,149.0,103.0
0,13,6,0,8,1,96,6,80,1,139,8,89,144.0,94.0
0,14,6,0,8,0,96,6,79,1,140,9,93,143.0,93.0
0,11,6,0,7,1,107,6,84,1,149,15,88,153.0,99.0
0,15,6,0,8,0,95,6,79,1,142,8,91,146.0,92.0
0,14,6,0,9,0,96,6,78,1,142,9,86,145.0,97.0
0,14,6,0,8,1,96,6,79,1,142,9,94,145.0,91.0
0,10,6,0,8,1,101,6,83,1,142,10,84,146.0,98.0
0,13,6,0,7,0,94,6,78,1,138,8,90,141.0,89.0
0,14,6,0,10,1,105,6,88,1,154,9,86,158.0,94.0
0,11,6,0,7,0,94,6,77,1,135,9,91,138.0,92.0
0,14,6,0,8,1,101,6,82,1,146,10,95,150.0,95.0
0,11,6,0,8,1,103,6,84,1,146,9,95,149.0,100.0
0,11,6,0,8,1,103,6,84,1,146,11,87,149.0,100.0
0,8,6,0,9,0,96,6,79,1,138,9,92,141.0,91.0
0,13,6,0,8,1,97,6,79,1,140,9,84,144.0,96.0
0,13,6,0,8,0,96,6,79,1,139,9,87,142.0,89.0
0,14,6,0,8,0,95,6,78,1,139,9,87,142.0,92.0
0,15,6,0,8,1,98,6,81,1,145,9,115,149.0,92.0
0,15,6,0,7,0,95,6,78,1,142,9,87,146.0,119.0
0,14,6,0,8,1,95,6,78,1,140,9,89,144.0,91.0
0,16,6,0,8,1,97,6,80,1,146,9,97,150.0,92.0
0,14,6,0,8,0,96,6,79,1,143,9,90,146.0,102.0
0,8,6,0,8,0,94,6,78,1,132,9,92,135.0,95.0
0,15,6,0,9,1,96,6,79,1,144,9,88,148.0,95.0
0,10,6,0,7,0,94,6,78,1,134,8,98,137.0,93.0
0,12,6,0,8,1,94,6,79,1,137,8,115,139.0,102.0
0,15,6,0,9,0,101,6,84,1,151,10,84,155.0,119.0
0,14,6,0,7,1,95,6,78,1,139,9,92,142.0,89.0
0,10,6,0,8,1,96,6,78,1,136,9,91,140.0,97.0
0,15,6,0,10,1,101,6,83,1,151,10,82,155.0,96.0
0,11,6,0,8,0,100,6,82,1,143,10,88,147.0,87.0
0,14,6,0,7,0,95,6,78,1,140,9,93,143.0,92.0
0,10,6,0,8,1,104,6,85,1,145,10,99,149.0,97.0
0,15,6,0,9,1,95,6,78,1,143,9,88,147.0,103.0
0,15,6,0,9,1,96,6,79,1,146,9,88,149.0,92.0
0,14,6,0,8,0,97,6,79,1,141,9,86,145.0,92.0
0,14,6,0,7,0,94,6,78,1,138,9,89,141.0,90.0
0,13,6,0,8,1,95,6,78,1,140,9,89,144.0,94.0
0,13,6,0,8,1,96,6,79,1,141,9,95,145.0,93.0
0,15,6,0,10,1,96,6,79,1,146,9,93,149.0,99.0
0,12,6,0,8,1,96,6,80,1,139,8,88,143.0,98.0
0,12,6,0,7,0,94,6,77,1,137,9,83,140.0,93.0
0,10,6,0,8,1,95,6,78,1,136,9,90,140.0,87.0
0,14,6,0,8,0,98,6,80,1,144,9,99,148.0,95.0
0,11,6,0,7,1,106,6,88,1,148,10,86,152.0,104.0
0,12,6,0,8,1,100,6,82,1,143,10,94,147.0,91.0
0,13,6,0,8,0,95,6,78,1,138,9,103,141.0,99.0
0,14,6,0,8,1,96,6,79,1,141,9,94,144.0,108.0
0,12,7,0,8,1,99,6,82,1,142,9,88,146.0,99.0
0,12,6,0,7,0,94,6,77,1,136,9,88,139.0,92.0
0,15,6,0,7,0,94,6,77,1,141,9,99,145.0,92.0
0,10,6,0,8,1,97,6,79,1,137,9,92,140.0,103.0
0,9,6,0,7,0,94,6,78,1,132,8,91,135.0,96.0
0,11,6,0,8,1,96,6,79,1,137,9,84,141.0,96.0
0,13,6,0,7,0,95,6,77,1,138,9,101,141.0,89.0
0,10,6,0,8,0,95,6,78,1,136,9,77,139.0,105.0
0,13,6,0,7,0,94,6,77,1,137,9,94,141.0,81.0
0,7,6,0,8,0,96,6,80,1,133,8,89,136.0,100.0
0,13,6,0,8,1,102,6,84,1,145,10,93,149.0,93.0
0,7,6,0,7,0,99,6,79,1,134,7,89,137.0,98.0
0,12,6,0,8,1,105,6,85,1,148,11,97,152.0,93.0
0,15,6,0,8,1,96,6,79,1,142,9,88,146.0,101.0
0,8,6,0,8,1,102,6,84,1,140,10,96,143.0,92.0
0,10,6,0,8,0,96,6,78,1,136,9,90,140.0,100.0
0,14,6,0,8,1,98,6,80,1,144,9,116,149.0,94.0
0,12,6,0,8,0,100,6,82,1,143,9,103,146.0,122.0
0,14,6,0,7,1,94,6,77,1,140,9,88,144.0,107.0
0,10,6,0,7,0,95,6,79,1,134,8,92,137.0,92.0
0,11,6,0,7,1,96,6,79,1,137,9,107,141.0,97.0
0,15,6,0,8,1,98,6,80,1,145,9,93,149.0,112.0
0,15,6,0,8,0,95,6,78,1,141,9,93,145.0,97.0
0,12,6,0,7,0,94,6,77,1,136,9,88,139.0,98.0
0,15,6,0,9,1,96,6,79,1,145,9,96,149.0,92.0
0,15,6,0,7,0,95,6,78,1,142,9,27,145.0,101.0
