Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,7,6,0,8,0,87,6,78,1,123,1,103,126.0,88.0
0,10,6,0,8,0,97,6,85,1,137,4,89,141.0,109.0
0,9,6,0,7,1,96,6,84,1,135,4,89,139.0,94.0
0,9,6,0,8,0,97,6,85,1,136,4,83,140.0,96.0
0,14,6,0,8,0,96,6,84,1,141,4,85,144.0,87.0
0,11,6,0,8,1,98,6,86,1,140,4,84,144.0,90.0
0,10,6,0,8,0,96,6,84,1,136,4,87,140.0,88.0
0,12,6,0,8,1,97,6,85,1,139,4,93,143.0,93.0
0,14,6,0,8,0,97,6,85,1,142,4,87,145.0,97.0
0,13,6,0,8,0,96,6,84,1,139,4,84,143.0,91.0
0,10,6,0,8,0,97,6,85,1,138,4,82,141.0,88.0
0,14,6,0,9,0,97,6,85,1,143,4,97,147.0,86.0
0,9,6,0,8,1,97,6,85,1,137,4,89,140.0,103.0
0,7,6,0,7,0,97,6,85,1,135,4,85,139.0,95.0
0,13,6,0,8,1,97,6,85,1,141,4,88,144.0,89.0
0,12,6,0,7,0,98,6,86,1,140,4,88,144.0,93.0
0,12,6,0,7,0,96,6,84,1,139,4,87,142.0,94.0
0,14,6,0,9,0,100,6,87,1,148,4,91,152.0,92.0
0,15,6,0,8,1,100,7,87,1,147,4,100,152.0,95.0
0,8,6,0,8,1,97,6,85,1,137,4,87,140.0,104.0
0,9,6,0,8,0,98,6,85,1,137,4,86,142.0,91.0
0,12,6,0,8,1,98,6,85,1,140,4,113,144.0,90.0
0,12,6,0,8,0,97,6,85,1,142,4,99,145.0,118.0
0,15,6,0,13,1,99,6,87,1,153,4,90,157.0,103.0
0,11,6,0,7,1,95,6,83,1,135,4,90,138.0,94.0
0,12,6,0,8,0,97,6,85,1,140,4,96,143.0,94.0
0,11,6,0,8,0,96,6,84,1,137,4,96,140.0,101.0
0,11,6,0,7,0,95,6,83,1,135,4,99,139.0,100.0
0,13,6,0,7,1,95,6,83,1,138,4,107,142.0,105.0
0,12,6,0,8,1,96,6,84,1,138,4,94,142.0,113.0
0,7,6,0,8,0,97,6,85,1,135,4,112,138.0,98.0
0,12,6,0,7,0,98,6,86,1,141,4,95,144.0,118.0
0,13,6,0,8,0,97,6,85,1,143,4,87,146.0,99.0
0,12,6,0,7,0,95,6,83,1,138,4,89,141.0,91.0
0,11,6,0,8,0,97,6,85,1,137,4,86,141.0,93.0
0,12,6,0,8,0,96,6,84,1,139,4,84,142.0,93.0
0,13,6,0,8,0,96,6,84,1,140,4,23,144.0,88.0
0,14,6,0,10,1,98,6,86,1,147,4,87,151.0,90.0
0,9,6,0,8,0,96,6,84,1,138,4,89,142.0,94.0
0,10,6,0,8,1,97,6,85,1,137,4,88,141.0,92.0
0,13,6,0,7,1,95,6,84,1,138,4,77,141.0,81.0
0,12,6,0,8,0,107,6,95,1,151,4,105,155.0,110.0
0,14,6,0,8,0,96,6,84,1,141,4,86,144.0,90.0
0,13,6,0,8,0,97,6,85,1,141,4,86,145.0,90.0
0,11,6,0,8,1,98,6,86,1,139,4,91,143.0,95.0
0,13,6,0,7,0,96,6,84,1,139,4,88,142.0,92.0
0,12,6,0,7,0,96,6,84,1,138,4,87,141.0,91.0
0,9,6,0,9,2,111,6,95,1,154,8,94,158.0,99.0
0,16,6,0,8,0,98,6,86,1,147,4,96,151.0,101.0
0,13,6,0,8,1,99,6,87,1,145,4,80,149.0,86.0
0,12,6,0,7,1,97,6,85,1,140,4,95,144.0,99.0
0,8,7,0,8,0,98,6,86,1,136,4,83,139.0,88.0
0,10,6,0,8,0,97,6,84,1,137,5,92,140.0,96.0
0,11,6,0,8,1,124,6,85,1,165,31,90,168.0,95.0
0,15,6,0,8,1,100,6,87,1,147,4,85,150.0,90.0
0,10,6,0,8,1,98,6,86,1,139,4,84,142.0,89.0
0,15,6,0,8,0,96,6,84,1,144,4,89,148.0,93.0
0,10,6,0,8,0,97,6,85,1,138,4,91,142.0,95.0
0,10,6,0,8,0,101,6,89,1,144,4,97,147.0,102.0
0,12,6,0,8,1,97,6,85,1,140,4,86,144.0,92.0
0,11,6,0,7,1,95,6,83,1,136,4,89,140.0,94.0
0,15,6,0,11,1,97,6,85,1,149,4,88,152.0,93.0
0,15,6,0,8,1,96,6,84,1,141,4,95,144.0,99.0
0,14,6,0,7,0,105,6,93,1,149,4,86,153.0,90.0
0,9,6,0,8,1,96,6,84,1,135,4,91,139.0,97.0
0,11,6,0,7,0,95,6,83,1,136,4,105,140.0,110.0
0,14,6,0,7,0,96,6,84,1,140,4,89,144.0,95.0
0,13,6,0,8,0,97,6,85,1,141,4,84,145.0,88.0
0,14,6,0,7,1,96,6,84,1,140,4,84,144.0,88.0
0,13,6,0,8,1,96,6,84,1,138,4,106,141.0,112.0
0,11,6,0,8,1,97,6,85,1,139,4,105,143.0,110.0
0,15,6,0,8,0,98,6,86,1,145,4,86,148.0,90.0
0,12,6,0,8,0,96,6,84,1,138,4,92,141.0,96.0
0,15,6,0,8,1,96,6,84,1,143,4,88,147.0,92.0
0,14,6,0,8,0,97,6,85,1,141,4,89,145.0,93.0
