al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
302,2,73,762,69,1276.0
68,2,65,799,60,1055.0
76,2,69,850,65,1121.0
58,1,66,802,62,1056.0
59,2,73,896,69,1149.0
66,1,66,780,61,1036.0
82,2,75,789,70,1106.0
58,2,76,955,73,1408.0
55,2,73,918,68,1195.0
64,2,71,831,67,1102.0
62,2,68,961,64,1235.0
67,1,67,973,63,1241.0
58,1,64,832,59,1102.0
63,1,74,786,71,1065.0
69,2,71,772,67,1052.0
60,2,70,1028,65,1310.0
59,2,79,958,74,1262.0
56,3,65,960,61,1263.0
61,1,66,764,62,1036.0
61,1,72,785,68,1056.0
54,2,80,839,76,1110.0
56,1,66,932,61,1191.0
60,2,74,984,70,1261.0
64,3,65,962,61,1239.0
75,1,62,870,58,1143.0
57,1,81,831,76,1096.0
74,2,70,763,65,1074.0
64,1,64,980,60,1260.0
60,2,64,968,60,1254.0
60,2,78,768,74,1051.0
56,2,61,1068,58,1356.0
60,1,68,965,64,1245.0
64,1,68,768,64,1044.0
62,1,74,826,69,1108.0
62,2,76,814,73,1152.0
65,2,84,989,79,1285.0
57,2,75,781,71,1056.0
64,2,66,818,62,1090.0
57,1,81,788,74,1050.0
73,2,69,936,64,1214.0
56,1,62,836,58,1121.0
66,2,70,777,64,1097.0
56,2,73,963,69,1246.0
57,1,74,939,69,1246.0
63,1,65,782,61,1075.0
54,2,83,895,77,1160.0
54,1,66,770,62,1032.0
58,2,77,938,71,1201.0
64,3,65,897,60,1171.0
69,2,86,926,81,1207.0
59,2,69,775,63,1037.0
58,1,69,961,65,1259.0
57,2,68,840,64,1106.0
64,2,69,800,63,1082.0
60,2,68,909,63,1175.0
53,2,64,915,60,1184.0
59,2,66,771,62,1041.0
66,2,84,961,80,1240.0
64,2,68,926,64,1217.0
55,2,63,858,59,1110.0
59,1,68,774,64,1037.0
61,1,77,838,72,1120.0
62,2,61,875,57,1137.0
64,1,82,794,77,1079.0
61,4,76,960,71,1227.0
61,1,68,905,62,1190.0
63,2,70,988,65,1259.0
66,2,69,749,65,1039.0
61,1,72,948,66,1222.0
61,2,71,839,66,1095.0
73,2,69,763,65,1029.0
61,2,66,925,62,1184.0
63,1,72,823,67,1115.0
61,2,68,942,63,1212.0
57,2,74,889,70,1181.0
64,2,74,778,70,1059.0
61,2,70,782,65,1037.0
66,1,69,797,65,1057.0
56,2,65,879,61,1194.0
64,2,70,928,66,1204.0
72,2,65,841,61,1113.0
59,1,77,926,73,1205.0
58,1,65,1015,61,1280.0
62,2,70,827,66,1086.0
63,2,67,762,62,1052.0
57,2,60,966,57,1211.0
56,1,65,868,60,1126.0
59,2,72,768,68,1035.0
67,2,82,971,77,1261.0
68,1,70,785,66,1046.0
57,1,72,779,68,1084.0
62,1,72,979,67,1245.0
56,2,67,809,61,1060.0
78,1,78,947,73,1244.0
46,1,67,768,64,1017.0
72,2,69,773,65,1037.0
58,2,67,1004,64,1288.0
63,2,65,776,61,1037.0
60,1,68,782,64,1042.0
61,2,64,954,60,1233.0
