al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
107,55,94,938,89,1764.0
58,2,69,933,66,1214.0
35,1,67,967,62,1229.0
41,1,66,842,61,1227.0
40,1,58,973,54,1297.0
42,1,72,995,68,1369.0
37,1,70,788,66,1031.0
52,2,65,751,60,1084.0
44,2,76,869,71,1128.0
47,1,65,972,61,1325.0
35,1,65,747,61,984.0
41,1,70,910,66,1260.0
40,2,79,845,74,1093.0
34,2,68,797,65,1149.0
41,2,72,790,66,1040.0
35,2,67,805,62,1174.0
39,2,62,947,58,1186.0
37,1,69,951,63,1194.0
43,2,65,986,60,1327.0
36,1,67,860,64,1094.0
42,11,67,782,62,1037.0
39,1,68,820,64,1136.0
36,1,65,757,61,993.0
41,1,76,998,70,1255.0
34,1,79,900,73,1144.0
38,1,70,943,65,1264.0
37,2,65,834,61,1065.0
35,2,75,780,71,1053.0
37,2,71,1017,67,1267.0
56,2,75,1063,70,1438.0
37,1,63,766,59,1004.0
41,2,75,936,70,1184.0
36,1,62,778,58,1026.0
31,1,67,755,64,1091.0
41,1,66,1002,62,1244.0
35,2,63,750,59,993.0
40,2,67,740,63,975.0
44,1,68,831,62,1075.0
148,2,78,972,73,1420.0
37,2,66,786,61,1022.0
47,2,63,765,59,1007.0
34,2,69,994,64,1243.0
36,1,65,762,61,1000.0
35,3,66,937,62,1272.0
60,1,66,780,62,1053.0
41,1,74,892,70,1155.0
40,2,65,948,61,1202.0
47,2,70,968,66,1230.0
36,2,68,804,64,1043.0
41,2,75,789,70,1074.0
38,1,71,963,67,1207.0
36,2,78,884,74,1137.0
34,1,64,783,61,1012.0
33,1,65,769,62,1010.0
41,2,73,1009,69,1266.0
40,2,81,990,75,1283.0
37,2,61,888,57,1125.0
592,2,75,936,71,1778.0
35,2,65,848,60,1108.0
35,1,66,886,62,1124.0
37,1,65,917,61,1181.0
37,2,74,776,71,1131.0
36,1,68,795,64,1043.0
43,1,68,771,64,1019.0
39,1,88,903,84,1170.0
39,2,66,776,61,1018.0
38,1,71,809,68,1050.0
40,2,67,777,62,1018.0
40,2,70,926,65,1288.0
37,2,66,943,61,1203.0
35,2,67,940,62,1159.0
41,2,74,873,70,1130.0
46,1,70,769,66,1038.0
37,2,72,772,68,1029.0
34,1,75,939,71,1194.0
60,2,66,780,63,1155.0
39,2,67,781,63,1011.0
37,2,70,966,66,1221.0
39,2,74,800,70,1054.0
34,3,75,932,69,1197.0
59,2,67,899,63,1174.0
36,1,62,744,58,985.0
50,2,65,975,62,1263.0
38,2,76,766,72,1133.0
40,2,84,880,78,1144.0
35,2,78,934,74,1191.0
33,1,69,749,65,999.0
37,1,69,905,65,1154.0
34,2,71,765,67,992.0
36,2,78,782,74,1029.0
35,1,64,922,60,1156.0
34,1,77,784,73,1083.0
41,2,71,908,67,1158.0
35,2,76,1023,72,1273.0
33,1,72,977,68,1205.0
35,2,68,828,64,1075.0
42,2,68,843,63,1097.0
38,2,64,923,61,1153.0
34,3,67,751,63,978.0
44,2,69,817,65,1165.0
