Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,15,6,0,15,0,121,6,78,1,176,36,88,180.0,85.0
0,12,6,0,8,1,107,6,79,1,152,19,91,155.0,92.0
0,14,7,0,9,1,109,6,81,1,157,19,104,160.0,95.0
0,9,6,0,8,1,105,6,78,1,144,19,86,148.0,108.0
0,13,6,0,7,0,104,6,78,1,147,18,88,150.0,90.0
0,14,6,0,8,0,104,6,77,1,149,19,89,153.0,93.0
0,11,6,0,8,1,104,6,77,1,145,19,93,149.0,93.0
0,10,6,0,8,0,106,6,79,1,146,19,92,150.0,99.0
0,15,6,0,8,0,106,6,79,1,154,19,95,158.0,97.0
0,11,7,0,8,1,109,6,81,1,152,19,90,156.0,100.0
0,9,6,0,8,1,105,6,79,1,145,19,89,148.0,94.0
0,15,6,0,7,0,107,6,80,1,153,19,87,156.0,93.0
0,13,6,0,8,1,105,6,78,1,148,19,85,152.0,92.0
0,16,6,0,8,1,106,6,78,1,155,19,80,159.0,89.0
0,11,6,0,8,1,105,6,78,1,147,19,95,150.0,84.0
0,11,6,0,8,1,108,7,80,1,150,20,100,154.0,99.0
0,15,6,0,8,1,107,6,79,1,153,20,96,156.0,106.0
0,12,6,0,7,0,104,6,77,1,148,19,90,151.0,101.0
0,15,6,0,8,0,105,6,79,1,151,19,99,155.0,95.0
0,12,6,0,8,0,105,6,78,1,146,19,88,150.0,103.0
0,9,6,0,8,1,104,6,77,1,143,19,87,147.0,92.0
0,14,6,0,10,1,105,6,78,1,154,19,86,157.0,91.0
0,12,6,0,8,0,108,6,80,1,151,20,88,155.0,90.0
0,14,6,0,10,1,106,6,78,1,159,20,89,163.0,93.0
0,14,6,0,8,0,105,6,78,1,150,19,90,153.0,94.0
1,16,6,0,8,1,112,6,80,1,162,23,88,166.0,95.0
0,15,6,0,8,1,108,6,80,1,156,20,87,160.0,94.0
0,11,6,0,7,0,105,6,78,1,147,19,87,150.0,92.0
0,15,6,0,9,1,107,6,79,1,157,20,89,161.0,91.0
0,9,6,0,7,1,105,6,78,1,145,19,88,149.0,95.0
0,13,6,0,8,1,106,6,78,1,149,20,92,153.0,92.0
0,12,6,0,11,1,107,6,79,1,153,20,83,157.0,97.0
0,14,6,0,9,1,106,6,78,1,154,20,93,157.0,88.0
0,13,6,0,8,1,106,6,78,1,149,20,90,153.0,99.0
0,13,6,0,9,0,105,6,77,1,151,20,96,154.0,94.0
0,12,6,0,8,0,105,6,77,1,148,20,87,152.0,101.0
0,12,6,0,7,0,106,6,78,1,149,20,92,153.0,91.0
0,7,6,0,9,1,105,6,78,1,145,19,93,148.0,96.0
0,7,6,0,8,1,106,6,78,1,143,20,85,147.0,97.0
0,9,6,0,8,1,105,6,77,1,145,20,104,149.0,89.0
0,12,6,0,8,0,105,6,77,1,147,20,89,151.0,109.0
0,15,6,0,7,0,107,6,79,1,154,20,87,158.0,93.0
0,13,6,0,8,1,105,6,77,1,148,20,86,152.0,91.0
0,12,6,0,8,0,105,6,77,1,147,20,83,151.0,90.0
0,15,6,0,8,1,107,6,78,1,155,20,84,158.0,88.0
0,8,6,0,8,0,105,6,77,1,143,20,100,146.0,89.0
0,10,6,0,8,1,107,6,79,1,148,20,90,151.0,105.0
0,11,6,0,8,1,105,6,77,1,147,20,79,150.0,95.0
0,9,6,0,8,1,107,6,79,1,147,20,105,150.0,84.0
0,10,6,0,8,1,112,6,83,1,153,20,89,157.0,110.0
0,15,6,0,17,2,107,6,79,1,165,20,86,168.0,93.0
0,12,6,0,8,0,107,6,79,1,148,20,88,151.0,90.0
0,11,6,0,8,1,106,6,78,1,147,20,89,151.0,93.0
0,10,6,0,8,1,107,6,79,1,148,20,85,151.0,94.0
0,12,6,0,8,1,106,6,78,1,149,20,103,153.0,90.0
0,10,6,0,8,1,107,6,79,1,148,20,85,151.0,107.0
0,12,6,0,7,0,109,6,81,1,152,20,87,155.0,90.0
0,8,6,0,10,2,109,6,80,1,151,20,86,155.0,91.0
0,9,6,0,8,1,110,6,81,1,151,21,94,154.0,90.0
0,15,6,0,8,1,107,6,78,1,155,21,97,158.0,98.0
0,9,6,0,8,1,105,6,77,1,145,20,99,148.0,102.0
0,13,6,0,8,0,106,6,78,1,149,20,99,152.0,103.0
0,13,6,0,10,1,108,6,79,1,155,21,92,159.0,104.0
0,11,6,0,8,1,108,6,80,1,149,20,92,152.0,97.0
0,9,6,0,8,1,109,6,80,1,149,21,97,152.0,97.0
0,9,6,0,8,1,110,6,81,1,152,21,98,155.0,102.0
0,11,6,0,7,0,105,6,77,1,146,20,89,149.0,102.0
