Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Collect Samples and Dcount Est.,Predicate Grant Injection,total,sql_exec_time,app_prep_time,app_exec_time
0,9,7,0,8,1,7,6,1,0,48,87,60.0,101.0
0,9,6,0,8,1,8,6,1,0,48,77,53.0,94.0
0,14,7,0,8,1,8,6,1,0,53,99,57.0,83.0
0,8,8,0,9,1,8,6,1,0,51,77,55.0,103.0
0,13,6,0,8,1,7,6,1,0,52,78,55.0,83.0
0,14,7,0,9,1,8,6,1,0,56,85,59.0,83.0
0,15,6,0,8,1,8,6,1,0,55,83,59.0,90.0
0,13,6,0,8,1,8,6,1,0,53,77,56.0,87.0
0,15,8,0,9,1,8,6,1,0,57,23,61.0,81.0
0,14,6,0,8,1,8,6,1,0,53,82,56.0,187.0
0,11,7,0,8,1,8,6,1,0,50,82,53.0,87.0
0,14,6,0,8,1,8,6,1,0,54,82,57.0,87.0
0,13,6,0,8,1,7,6,1,0,51,83,55.0,87.0
0,14,11,0,12,1,8,6,1,0,61,85,64.0,90.0
0,13,7,0,8,1,8,6,1,0,54,79,58.0,83.0
0,8,8,0,10,1,8,6,1,0,50,89,53.0,93.0
0,16,7,0,8,1,8,6,1,0,59,80,63.0,85.0
0,9,7,0,8,1,8,6,1,0,49,90,52.0,96.0
0,14,7,0,8,1,8,6,1,0,55,83,58.0,88.0
0,16,6,0,8,1,8,6,1,0,56,80,59.0,85.0
0,13,6,0,8,1,8,6,1,0,52,81,55.0,85.0
0,16,7,0,8,1,8,6,1,0,58,87,62.0,91.0
0,11,7,0,8,1,7,6,1,0,50,87,54.0,91.0
0,14,6,0,8,1,8,6,1,0,53,83,57.0,87.0
0,14,7,0,8,1,8,6,1,0,55,82,58.0,87.0
0,11,7,0,8,1,8,6,1,0,51,82,54.0,86.0
0,15,8,0,10,1,8,6,1,0,59,84,63.0,90.0
0,12,6,0,8,1,8,6,1,0,51,85,55.0,89.0
0,16,7,0,8,1,8,6,1,0,57,80,60.0,84.0
0,12,6,0,8,1,7,6,1,0,50,81,53.0,86.0
0,12,6,0,8,1,7,6,1,0,51,82,54.0,86.0
