Parsing time,Preprocessing time,Checking time,Related objects collection time,QP to QC conversion time,QC to QO conversion time,Query rewriting time,Cost-based optimization time,Predicate Grant Injection,Collect Samples and Dcount Est.,total,proc_time,sql_exec_time,app_prep_time,app_exec_time
0,9,7,0,8,1,102,10,87,1,146,5,97,149.0,134.0
0,12,6,0,7,0,113,10,93,1,162,10,133,165.0,100.0
0,12,6,0,8,1,108,10,88,1,157,9,121,161.0,137.0
0,12,6,0,7,1,104,10,86,1,150,8,124,153.0,126.0
0,15,6,0,8,1,108,10,87,1,161,11,119,164.0,128.0
0,9,6,0,8,0,104,10,85,1,148,9,128,151.0,123.0
0,15,6,0,14,1,113,10,92,1,172,10,127,176.0,132.0
0,12,6,0,8,1,105,10,85,1,152,9,131,156.0,132.0
0,11,6,0,8,1,112,10,91,1,159,11,122,163.0,134.0
0,9,6,0,7,0,104,10,85,1,147,9,128,151.0,125.0
0,11,6,0,8,1,107,10,88,1,154,9,116,158.0,133.0
0,10,6,0,8,0,110,10,90,1,155,10,124,159.0,121.0
0,11,6,0,8,1,113,10,92,1,161,10,118,163.0,128.0
0,11,6,0,8,1,106,10,86,1,152,9,118,156.0,123.0
0,14,6,0,8,0,106,10,86,1,156,9,121,159.0,123.0
0,11,6,0,8,1,117,10,95,1,164,11,128,168.0,125.0
0,13,6,0,8,1,109,10,90,1,157,9,123,160.0,132.0
0,12,6,0,7,1,104,10,86,1,151,8,129,155.0,127.0
0,9,6,0,7,1,104,10,85,1,149,9,116,152.0,134.0
0,10,6,0,8,1,105,10,86,1,151,9,128,154.0,120.0
0,14,6,0,8,1,104,10,85,1,155,9,126,159.0,132.0
0,12,6,0,8,1,114,10,92,1,162,11,127,166.0,131.0
0,8,6,0,7,0,111,10,91,1,154,10,131,157.0,131.0
0,11,6,0,8,1,105,10,86,1,152,9,127,154.0,135.0
0,15,6,0,8,0,105,10,85,1,156,9,127,160.0,131.0
0,10,6,0,7,0,111,10,91,1,156,10,154,160.0,131.0
0,12,6,0,8,0,106,10,87,1,154,9,125,158.0,159.0
0,11,6,0,8,0,105,10,85,1,150,9,135,154.0,129.0
0,16,6,0,8,1,111,10,90,1,164,11,128,168.0,141.0
0,11,6,0,8,1,105,10,86,1,152,9,128,155.0,134.0
0,15,6,0,8,1,107,10,87,1,158,9,124,161.0,133.0
0,14,6,0,8,1,108,10,88,1,159,9,129,163.0,129.0
0,13,6,0,8,1,105,10,86,1,153,9,126,157.0,134.0
0,14,6,0,7,1,105,10,85,1,155,9,121,158.0,130.0
0,12,6,0,8,1,111,10,90,1,159,11,127,162.0,126.0
0,7,6,0,8,1,112,10,91,1,155,11,122,158.0,132.0
0,11,6,0,8,0,106,10,87,1,152,9,124,156.0,127.0
0,12,6,0,8,1,106,10,87,1,154,9,133,158.0,128.0
0,10,6,0,8,1,106,10,87,1,151,9,129,154.0,136.0
0,9,6,0,8,1,114,10,92,1,158,11,131,161.0,134.0
0,15,6,0,7,1,114,10,93,1,165,11,120,169.0,136.0
0,14,6,0,8,1,116,10,95,1,165,11,129,168.0,124.0
0,15,6,0,8,1,104,10,85,1,155,9,133,158.0,133.0
0,10,6,0,7,1,112,10,92,1,159,10,136,162.0,139.0
0,7,6,0,8,0,113,10,92,1,155,11,125,159.0,140.0
0,9,6,0,7,1,104,10,85,1,148,9,121,151.0,129.0
0,10,6,0,7,0,104,10,84,1,147,9,124,151.0,126.0
0,10,6,0,7,0,110,10,90,1,155,10,127,158.0,129.0
0,15,6,0,8,1,105,10,86,1,157,9,130,160.0,131.0
0,13,6,0,8,1,108,10,88,1,156,9,129,160.0,135.0
0,10,6,0,8,1,113,10,91,1,158,11,122,161.0,134.0
0,15,6,0,10,0,105,10,86,1,160,9,125,164.0,126.0
0,11,6,0,8,0,110,10,90,1,156,10,120,159.0,131.0
0,11,6,0,8,0,109,10,89,1,155,9,140,159.0,124.0
0,14,6,0,9,1,113,10,91,1,166,11,123,169.0,146.0
0,8,6,0,10,1,118,10,96,1,165,11,152,168.0,128.0
0,15,6,0,8,1,114,10,93,1,165,11,128,169.0,158.0
0,13,6,0,8,1,106,10,86,1,154,9,130,157.0,133.0
0,11,6,0,8,1,106,10,86,1,153,10,122,156.0,135.0
0,11,6,0,8,0,106,10,86,1,153,10,127,157.0,126.0
0,14,6,0,7,0,106,10,86,1,156,9,119,159.0,132.0
0,8,6,0,8,1,112,10,91,1,157,11,130,160.0,123.0
0,12,6,0,8,1,105,10,85,1,152,9,119,155.0,136.0
0,12,6,0,8,0,110,10,88,1,156,11,129,159.0,124.0
0,10,6,0,8,1,115,10,94,1,161,11,124,165.0,134.0
0,14,6,0,7,0,105,10,85,1,153,9,138,158.0,128.0
0,16,6,0,8,1,107,10,87,1,160,9,128,163.0,143.0
0,11,6,0,8,1,106,10,87,1,154,9,138,158.0,133.0
0,10,6,0,8,1,108,10,89,1,153,9,131,157.0,143.0
0,8,6,0,9,1,112,10,91,1,157,11,133,160.0,136.0
0,11,6,0,8,1,110,10,90,1,156,9,115,160.0,138.0
0,10,7,0,8,1,109,10,89,1,156,9,147,161.0,119.0
0,10,6,0,11,1,111,10,91,1,160,10,118,164.0,151.0
0,14,6,0,8,1,111,10,90,1,160,11,130,163.0,123.0
0,11,6,0,8,1,106,10,86,1,152,9,124,155.0,136.0
0,15,6,0,8,1,110,10,89,1,161,10,135,165.0,130.0
0,12,6,0,8,1,105,10,85,1,152,10,125,156.0,139.0
0,10,6,0,8,1,113,10,92,1,159,11,120,163.0,129.0
0,8,6,0,7,1,106,10,87,1,149,9,142,153.0,124.0
0,10,6,0,8,1,104,10,85,1,149,9,127,153.0,146.0
0,9,6,0,7,1,105,10,86,1,149,9,133,153.0,132.0
0,10,6,0,7,0,106,10,87,1,151,9,138,155.0,137.0
0,12,6,0,7,1,105,10,85,1,151,9,136,155.0,144.0
0,16,6,0,9,1,109,11,89,1,165,9,133,169.0,142.0
0,7,6,0,8,0,104,11,85,1,147,9,130,149.0,137.0
0,14,6,0,8,0,106,10,87,1,155,9,135,158.0,135.0
0,15,6,0,8,1,105,10,86,1,156,9,127,160.0,139.0
0,11,6,0,8,1,106,10,87,1,153,9,125,156.0,132.0
0,15,6,0,9,0,111,10,90,1,165,11,137,169.0,130.0
0,14,6,0,8,1,105,10,86,1,156,9,118,160.0,141.0
0,14,6,0,8,1,106,10,86,1,156,9,123,159.0,123.0
0,11,6,0,8,1,107,10,87,1,152,9,121,156.0,127.0
0,11,6,0,8,1,118,10,96,1,165,11,115,169.0,126.0
0,11,6,0,8,1,105,10,85,1,152,10,128,155.0,120.0
0,14,6,0,7,1,111,10,90,1,161,10,122,164.0,133.0
0,13,6,0,8,1,107,10,87,1,156,10,135,159.0,126.0
0,14,6,0,7,0,110,10,89,1,160,11,129,164.0,139.0
0,13,6,0,8,0,106,10,86,1,154,9,140,158.0,133.0
0,11,6,0,8,1,106,10,86,1,152,9,124,155.0,146.0
0,14,6,0,8,0,105,10,86,1,156,9,30,159.0,128.0
