al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
228,2,106,1802,101,2400.0
82,2,104,1990,99,2455.0
87,1,108,1525,104,2083.0
81,2,107,1928,102,2388.0
78,2,119,1774,113,2262.0
117,1,96,1835,91,2313.0
82,1,106,1889,101,2375.0
73,2,111,1779,107,2263.0
79,2,104,1717,99,2165.0
79,2,98,1882,93,2309.0
77,1,102,1877,99,2299.0
77,1,111,1873,106,2316.0
75,1,101,1969,96,2402.0
74,2,114,1865,108,2383.0
72,2,114,1644,111,2097.0
83,2,108,1512,104,1947.0
73,1,120,1748,115,2212.0
75,2,116,1567,111,2034.0
78,1,108,1560,104,2008.0
77,2,111,2022,106,2592.0
75,2,98,1927,93,2334.0
78,1,116,1692,111,2153.0
72,2,102,1663,98,2091.0
83,2,115,1593,110,2054.0
73,2,106,1720,102,2159.0
76,1,116,1632,109,2177.0
73,2,103,1955,97,2473.0
71,2,108,1748,103,2203.0
77,1,99,1850,94,2291.0
78,1,109,2042,104,2508.0
78,2,98,1457,94,1884.0
73,2,108,1723,104,2162.0
74,1,115,1579,110,2070.0
72,2,112,1777,108,2245.0
72,1,112,1857,107,2307.0
81,2,114,1964,108,2447.0
69,1,102,1518,99,1974.0
79,2,103,1568,97,2051.0
78,2,119,1955,113,2495.0
78,2,79,1756,75,2153.0
77,1,105,1601,101,2018.0
77,1,114,1923,108,2362.0
76,2,105,1880,99,2297.0
77,2,98,1524,94,1932.0
80,2,108,2056,104,2519.0
73,2,103,1795,98,2326.0
74,2,103,1899,98,2337.0
80,2,104,2050,99,2505.0
76,1,101,1900,97,2343.0
70,2,104,1816,98,2264.0
71,2,110,1507,106,1927.0
82,2,113,1898,109,2380.0
75,2,105,1863,100,2383.0
83,2,106,1907,101,2361.0
79,2,123,1911,117,2371.0
75,4,108,1874,102,2298.0
76,1,100,1548,96,1957.0
78,1,99,1537,94,1943.0
72,1,106,1528,101,1956.0
73,2,112,1793,107,2361.0
85,2,103,1757,99,2233.0
72,2,108,1852,104,2301.0
74,1,121,1948,116,2415.0
68,2,103,1504,99,1911.0
81,2,116,1825,110,2256.0
78,2,111,2140,107,2579.0
80,2,115,1580,111,2031.0
78,2,112,1856,107,2314.0
77,2,100,1585,96,1998.0
82,2,104,1708,98,2128.0
82,2,110,1864,106,2340.0
84,2,114,1809,108,2286.0
83,1,101,1791,96,2250.0
81,2,99,1801,95,2247.0
73,2,107,2048,103,2572.0
79,1,104,1654,100,2112.0
73,2,116,1708,110,2146.0
72,2,110,1569,105,1996.0
205,1,99,2027,95,2561.0
79,2,95,2023,91,2468.0
77,2,112,1872,107,2374.0
80,1,109,1934,105,2378.0
79,2,120,1712,116,2180.0
78,2,98,1828,94,2251.0
77,2,106,1971,101,2397.0
64,2,98,1573,94,1984.0
108,2,103,1943,98,2429.0
102,1,107,1849,102,2329.0
103,2,122,1898,115,2408.0
90,2,101,2040,96,2559.0
74,2,106,1538,102,1992.0
74,1,108,1600,103,2008.0
132,2,102,1579,98,2083.0
121,2,104,1912,99,2407.0
185,2,103,2190,99,2750.0
75,2,98,1636,93,2062.0
76,2,98,1612,93,2074.0
79,3,118,1679,112,2124.0
89,2,106,1965,101,2428.0
74,2,112,1942,108,2398.0
