al_rewr_time,al_prep_time,al_exec_time,al_parse_time,sql_exec_time,app_exec_time
55,1,94,1943,90,2363.0
56,2,105,1595,100,2051.0
58,2,101,1934,96,2418.0
56,2,110,1773,104,2200.0
59,2,102,1926,97,2321.0
56,2,116,1982,110,2389.0
61,1,107,1822,103,2221.0
56,1,96,1973,92,2371.0
66,1,98,1974,93,2413.0
63,2,107,1975,103,2409.0
73,2,117,1525,112,1957.0
54,2,105,1607,100,2008.0
58,2,106,1571,100,1973.0
56,2,106,1731,101,2134.0
70,2,103,1649,98,2092.0
55,1,96,1711,92,2125.0
53,2,102,1643,97,2071.0
60,2,102,1903,97,2332.0
61,2,101,1635,96,2068.0
58,2,100,1710,96,2163.0
61,1,102,1814,98,2236.0
64,2,106,2053,102,2465.0
60,1,107,1670,103,2074.0
63,2,108,1776,103,2194.0
77,1,102,1531,98,1962.0
51,2,104,1770,99,2188.0
78,2,122,1622,116,2055.0
64,2,118,1677,113,2090.0
58,1,98,1597,94,1981.0
64,2,109,1668,105,2109.0
67,2,103,1629,99,2097.0
58,1,96,1913,91,2351.0
63,2,112,2017,103,2484.0
59,2,108,1565,104,1974.0
66,2,110,1868,106,2287.0
61,1,84,1708,80,2115.0
62,1,108,1542,103,1942.0
79,2,110,2063,104,2499.0
57,1,103,1536,99,1930.0
55,2,116,1843,111,2356.0
62,2,105,1853,101,2288.0
60,2,105,1941,101,2383.0
62,2,101,1704,96,2155.0
69,2,105,1845,100,2280.0
60,2,103,1484,99,1961.0
54,2,114,1932,109,2383.0
57,2,104,1887,99,2325.0
81,2,102,1929,97,2366.0
68,1,97,1590,93,2029.0
61,1,108,1579,104,1983.0
64,2,96,1802,92,2193.0
75,2,108,1685,102,2117.0
59,2,116,1823,111,2305.0
62,2,112,1553,107,1960.0
62,2,115,1991,108,2431.0
61,2,107,2250,102,2677.0
57,2,101,1599,97,2045.0
60,2,101,1643,97,2082.0
57,2,106,1656,102,2072.0
65,2,105,1829,100,2291.0
58,2,99,1868,95,2290.0
65,2,120,1600,115,2059.0
58,1,105,1746,100,2171.0
58,2,105,1928,99,2374.0
47,1,103,1517,99,1894.0
70,2,100,1771,96,2180.0
62,2,110,1647,104,2098.0
59,2,108,1932,104,2362.0
71,2,103,1557,99,1962.0
56,2,108,1572,103,1998.0
63,1,106,1708,101,2171.0
59,1,112,1647,107,2085.0
66,2,104,1745,99,2192.0
63,1,102,1520,98,1919.0
57,1,106,1708,102,2099.0
64,2,107,1679,103,2123.0
56,2,109,1805,103,2203.0
63,2,102,1868,97,2298.0
62,2,101,1591,97,2063.0
60,2,109,1708,104,2119.0
64,2,104,1859,100,2300.0
63,1,104,1685,100,2084.0
64,2,113,1560,108,2003.0
58,2,102,1717,98,2173.0
51,1,98,1567,94,1977.0
62,2,107,1753,102,2244.0
60,2,99,1587,94,1998.0
64,2,98,1553,92,1995.0
57,2,128,1820,123,2264.0
71,1,116,1824,110,2246.0
62,3,104,1971,99,2433.0
58,1,105,1888,101,2325.0
58,2,108,1642,104,2108.0
57,2,106,1806,102,2243.0
67,2,110,2057,106,2546.0
59,1,96,1731,92,2166.0
68,2,97,1985,92,2448.0
64,3,103,1921,99,2353.0
63,2,103,1775,99,2244.0
101,2,104,2058,99,2531.0
